Genus,ShortName
Viburnum,acerifoliu
Viburnum,acutifoliu
Viburnum,adenophoru
Limonium,aegaeum
Dryopteris,aemula
Dryopteris,affinis
Dryopteris,aitonia466
Pinus,albicaulis
Limonium,algarvense
Dryopteris,alpestris
Limonium,ammophilon
Limonium,amopicum
Viburnum,amplificat
Viburnum,amplifoliu
Dryopteris,amurensis
Viburnum,anabaptist
Viburnum,anamensis
Dryopteris,annamensis
Dryopteris,antarct624
Dryopteris,antarctica
Limonium,anthericoi
Dryopteris,anthracini
Limonium,aphroditae
Dryopteris,apiciflora
Dryopteris,aquilin634
Dryopteris,aquilinoid
Limonium,aragonense
Limonium,arboreum
Dryopteris,ardechensi
Dryopteris,arguta
Pinus,aristata
Pinus,arizonica
Pinus,armandii
Limonium,articulatu
Limonium,asparagoid
Dryopteris,athaman407
Dryopteris,athaman492
Dryopteris,athamantic
Dryopteris,atrata
Viburnum,atrocyaneu
Pinus,attenuata
Limonium,aucheri
Limonium,aureum
Limonium,auriculae-
Limonium,australe
Viburnum,australe
Limonium,avei
Viburnum,awabuki
Limonium,axillare
Pinus,ayacahuite
Viburnum,ayavacense
Dryopteris,azorica460
Pinus,balfourian
Pinus,banksiana
Dryopteris,barberiger
Dryopteris,basisora
Limonium,beaumieria
Viburnum,beccarii
Limonium,bellidifol
Limonium,benmageci
Dryopteris,bernier633
Dryopteris,bernieri
Viburnum,betulifoli
Pinus,bhutanica
Limonium,biflorum
Limonium,binervosum
Dryopteris,bissetiana
Viburnum,bitchiuens
Viburnum,blandum
Limonium,bocconei
Dryopteris,bodinieri
Dryopteris,bojeri568
Limonium,bollei
Limonium,bonduellei
Limonium,bonifacien
Limonium,bourgeaui
Viburnum,brachyandr
Viburnum,brachybotr
Viburnum,bracteatum
Limonium,brasiliens
Limonium,brassicifo
Limonium,braunii
Viburnum,brevipes
Limonium,brevipetio
Viburnum,brevitubum
Limonium,brunneri
Pinus,brutia
Viburnum,buddleifol
Pinus,bungeana
Viburnum,burejaetic
Limonium,caesium
Limonium,californic
Limonium,calliopsiu
Viburnum,calvum
Limonium,camposanum
Dryopteris,campylopte
Limonium,cancellatu
Limonium,capense
Pinus,caribaea
Viburnum,carlesii
Limonium,carnosum
Limonium,carolinian
Limonium,carpathum
Limonium,carpetanic
Limonium,carthagine
Dryopteris,carthusian
Viburnum,cassinoide
Dryopteris,caucasica
Dryopteris,caudipinna
Dryopteris,celsa
Pinus,cembra
Pinus,cembroides
Limonium,cephalonic
Limonium,cf.
Dryopteris,championii
Limonium,chersonesu
Pinus,chiapensis
Dryopteris,chinensis
Viburnum,chingii
Viburnum,chinshanen
Dryopteris,christense
Dryopteris,chrysocoma
Viburnum,ciliatum
Dryopteris,cinnamomea
Viburnum,cinnamomif
Dryopteris,clarkei
Pinus,clausa
Viburnum,clemensiae
Dryopteris,clintonian
Dryopteris,cochleata
Viburnum,colebrooke
Dryopteris,commixta
Limonium,compactum
Limonium,confusum
Viburnum,congestum
Dryopteris,conjugata
Limonium,connivens
Pinus,contorta
Limonium,contortira
