branch_name,branch_id,node
aemula,0,aemula
affinis,1,affinis
aitonia466,2,aitonia466
alpestris,3,alpestris
amurensis,4,amurensis
anadroma,5,anadroma
annamensis,6,annamensis
antarctica,7,antarctica
anthracini,8,anthracini
apiciflora,9,apiciflora
aquilinoid,10,aquilinoid
ardechensi,11,ardechensi
arguta,12,arguta
athamantic,13,athamantic
atrata,14,atrata
azorica460,16,azorica460
barberiger,17,barberiger
basisora,18,basisora
bernieri,19,bernieri
bissetiana,20,bissetiana
bodinieri,21,bodinieri
bojeri568,22,bojeri568
campylopte,24,campylopte
carthusian,25,carthusian
caucasica,26,caucasica
caudipinna,27,caudipinna
celsa,28,celsa
championii,29,championii
chinensis,30,chinensis
christense,31,christense
chrysocoma,32,chrysocoma
cinnamomea,33,cinnamomea
clarkei,34,clarkei
clintonian,35,clintonian
cochleata,36,cochleata
cognata546,37,cognata546
commixta,38,commixta
conjugata,39,conjugata
coreano-mo,40,coreano-mo
corleyi,41,corleyi
costalisor,42,costalisor
crassirhiz,43,crassirhiz
crinalis,44,crinalis
crispifoli,45,crispifoli
cristata,48,cristata
cycadina,50,cycadina
decipiens,51,decipiens
diacalpe,52,diacalpe
dickinsii,53,dickinsii
diffracta,54,diffracta
dilatata,55,dilatata
dracomo635,56,dracomo635
emeiensis,58,emeiensis
erythrosor,59,erythrosor
expansa,60,expansa
exstipella,62,exstipella
fadenii459,64,fadenii459
filix-mas,65,filix-mas
flaccisqua,66,flaccisqua
formosana,67,formosana
fragrans,68,fragrans
fuscipes,69,fuscipes
fuscoatra,70,fuscoatra
futura,71,futura
gamblei,72,gamblei
glabra,73,glabra
glandul457,74,glandul457
goeringian,75,goeringian
goldiana,76,goldiana
guanchica,77,guanchica
gymnophyll,78,gymnophyll
gymnosora,80,gymnosora
hadanoi,81,hadanoi
handeliana,82,handeliana
hangchowen,83,hangchowen
hasseltii,84,hasseltii
hawaiiensi,85,hawaiiensi
hendersoni,90,hendersoni
heterolaen,91,heterolaen
hondoensis,92,hondoensis
huberi,93,huberi
inaequa632,95,inaequa632
indusiata,96,indusiata
insularis,97,insularis
integrilob,98,integrilob
intermedia,99,intermedia
juxtaposit,102,juxtaposit
karwinskya,103,karwinskya
katanga626,104,katanga626
kawakamii,105,kawakamii
kilemen505,106,kilemen505
kinkiensis,108,kinkiensis
knoblochii,109,knoblochii
koidsumian,110,koidsumian
komarovii,114,komarovii
labordei,115,labordei
lacera,116,lacera
lepidopoda,117,lepidopoda
lewalle637,118,lewalle637
ludovician,120,ludovician
lunanensis,122,lunanensis
maderensis,123,maderensis
mannian510,126,mannian510
marginalis,127,marginalis
mauiensis,129,mauiensis
maximowicz,130,maximowicz
maxonii,131,maxonii
medioxima,132,medioxima
melanocarp,134,melanocarp
monticola,135,monticola
munchii,137,munchii
namegatae,138,namegatae
neolacera,140,neolacera
nodosa,143,nodosa
nubigena,145,nubigena
occiden458,148,occiden458
odontoloma,150,odontoloma
oligodo640,151,oligodo640
oligodonta,152,oligodonta
oreades,154,oreades
pacifica,156,pacifica
paleolata,157,paleolata
pallida,159,pallida
panda,162,panda
patula,164,patula
pentheri,166,pentheri
peranema,168,peranema
polita,169,polita
polylepis,172,polylepis
protobisse,175,protobisse
pseudocaen,177,pseudocaen
pseudofili,180,pseudofili
pulcherrim,182,pulcherrim
pycnoptero,183,pycnoptero
reflexosqu,184,reflexosqu
remota,185,remota
rosea,191,rosea
rossii,192,rossii
rosthornii,195,rosthornii
rubiginosa,197,rubiginosa
rubrobrunn,198,rubrobrunn
ryo-itoana,199,ryo-itoana
sabaei,200,sabaei
sacrosanct,201,sacrosanct
saffordii,203,saffordii
sandwicens,205,sandwicens
saxifraga,206,saxifraga
saxifragiv,207,saxifragiv
schimpe639,209,schimpe639
schnell455,211,schnell455
scottii,215,scottii
setosa,216,setosa
shibipedis,217,shibipedis
shikokiana,220,shikokiana
shiroumens,223,shiroumens
sieboldii,225,sieboldii
simasakii,230,simasakii
sinofibril,238,sinofibril
sordidipes,240,sordidipes
sororia,243,sororia
sparsa,249,sparsa
squamifera,250,squamifera
squamis504,255,squamis504
stenolepis,256,stenolepis
stewartii,258,stewartii
subbipinna,264,subbipinna
subcren638,266,subcren638
subexaltat,271,subexaltat
sublacera,274,sublacera
subpycnopt,277,subpycnopt
tetrapinna,278,tetrapinna
tokyoensis,279,tokyoensis
transmorri,284,transmorri
tricell456,289,tricell456
tsugiwoi,297,tsugiwoi
tsutsuiana,301,tsutsuiana
tyrrhen494,306,tyrrhen494
unidentata,312,unidentata
uniformis,318,uniformis
varia,327,varia
villari414,336,villari414
wallichian,340,wallichian
wattsii,351,wattsii
yakusilvic,355,yakusilvic
zhuweiming,361,zhuweiming
Root,368,Root
Node100|244,244,362
Node101|204,204,365
Node102|165,165,366
Node103|94,94,367
Node104|147,147,368
Node105|146,146,369
Node106|190,190,268
Node107|125,125,275
Node108|101,101,276
Node109|47,47,277
Node10|346,346,193
Node110|46,46,278
Node111|100,100,279
Node112|124,124,280
Node113|189,189,269
Node114|188,188,271
Node115|49,49,274
Node116|187,187,272
Node117|186,186,273
Node118|61,61,270
Node119|317,317,263
Node11|347,347,192
Node120|316,316,264
Node121|315,315,265
Node122|314,314,266
Node123|313,313,267
Node124|224,224,261
Node125|128,128,262
Node126|339,339,226
Node127|296,296,229
Node128|263,263,248
Node129|262,262,249
Node12|348,348,191
Node130|261,261,255
Node131|260,260,256
Node132|259,259,257
Node133|79,79,258
Node134|142,142,259
Node135|141,141,260
Node136|229,229,250
Node137|163,163,254
Node138|228,228,251
Node139|227,227,252
Node13|349,349,190
Node140|226,226,253
Node141|295,295,230
Node142|294,294,231
Node143|293,293,242
Node144|292,292,243
Node145|23,23,244
Node146|291,291,245
Node147|290,290,246
Node148|210,210,247
Node149|270,270,232
Node14|350,350,189
Node150|269,269,233
Node151|268,268,236
Node152|267,267,237
Node153|119,119,238
Node154|167,167,234
Node155|57,57,235
Node156|214,214,239
Node157|213,213,240
Node158|212,212,241
Node159|338,338,227
Node15|360,360,188
Node160|337,337,228
Node161|311,311,194
Node162|310,310,195
Node163|309,309,196
Node164|181,181,200
Node165|308,308,197
Node166|307,307,198
Node167|155,155,199
Node168|344,344,202
Node169|343,343,203
Node16|359,359,281
Node170|342,342,204
Node171|341,341,205
Node172|265,265,206
Node173|239,239,207
Node174|174,174,208
Node175|173,173,209
Node176|305,305,220
Node177|304,304,223
Node178|303,303,224
Node179|302,302,225
Node17|283,283,282
Node180|196,196,221
Node181|139,139,222
Node182|257,257,219
Node183|15,15,215
Node18|282,282,283
Node19|107,107,284
Node1|319,319,218
Node20|281,281,285
Node21|161,161,288
Node22|136,136,289
Node23|160,160,290
Node24|153,153,291
Node25|280,280,286
Node26|121,121,287
Node27|149,149,292
Node28|358,358,293
Node29|276,276,294
Node2|320,320,217
Node30|275,275,295
Node31|273,273,296
Node32|272,272,297
Node33|357,357,298
Node34|356,356,299
Node35|367,367,187
Node36|366,366,300
Node37|365,365,301
Node38|354,354,320
Node39|353,353,321
Node3|321,321,216
Node40|352,352,322
Node41|300,300,323
Node42|299,299,334
Node43|298,298,338
Node44|219,219,335
Node45|133,133,336
Node46|218,218,337
Node47|237,237,324
Node48|236,236,325
Node49|235,235,326
Node4|322,322,214
Node50|234,234,327
Node51|233,233,328
Node52|232,232,329
Node53|231,231,330
Node54|113,113,331
Node55|112,112,332
Node56|111,111,333
Node57|335,335,339
Node58|334,334,344
Node59|333,333,345
Node5|323,323,213
Node60|332,332,346
Node61|331,331,347
Node62|330,330,348
Node63|329,329,349
Node64|328,328,350
Node65|176,176,351
Node66|208,208,352
Node67|242,242,353
Node68|202,202,354
Node69|241,241,355
Node6|324,324,212
Node70|171,171,356
Node71|170,170,357
Node72|288,288,340
Node73|287,287,341
Node74|286,286,342
Node75|285,285,343
Node76|364,364,302
Node77|363,363,307
Node78|254,254,308
Node79|253,253,309
Node7|325,325,211
Node80|222,222,317
Node81|221,221,318
Node82|252,252,310
Node83|179,179,311
Node84|178,178,312
Node85|251,251,313
Node86|158,158,314
Node87|144,144,315
Node88|63,63,316
Node89|362,362,319
Node8|326,326,210
Node90|89,89,303
Node91|88,88,304
Node92|87,87,305
Node93|86,86,306
Node94|248,248,358
Node95|247,247,359
Node96|246,246,360
Node97|245,245,361
Node98|194,194,363
Node99|193,193,364
Node9|345,345,201
