Species,ShortName,MeanTempAnnual_n,MeanTempAnnual_mean,MeanTempAnnual_se,MeanTempAnnual_median,MeanTempAnnual_q10,MeanTempAnnual_q90,MaxTempWarmestMonth_n,MaxTempWarmestMonth_mean,MaxTempWarmestMonth_se,MaxTempWarmestMonth_median,MaxTempWarmestMonth_q10,MaxTempWarmestMonth_q90,GrowingSeasonTemp_n,GrowingSeasonTemp_mean,GrowingSeasonTemp_se,GrowingSeasonTemp_median,GrowingSeasonTemp_q10,GrowingSeasonTemp_q90,coordinatePrecision_n,coordinatePrecision_mean,coordinatePrecision_se,coordinatePrecision_median,coordinatePrecision_q10,coordinatePrecision_q90,PrecAnnual_n,PrecAnnual_mean,PrecAnnual_se,PrecAnnual_median,PrecAnnual_q10,PrecAnnual_q90,Prec_n,Prec_mean,Prec_se,Prec_median,Prec_q10,Prec_q90
Dryopteris aemula,aemula,8096,11.659596558203896,3.986245702358501e-4,10.47120714187622,8.20994758605957,16.3085994720459,8096,20.309910326371472,4.2277565265415936e-4,20.259000778198242,16.105911254882812,24.327499389648438,8096,9.835180081692158,3.718217137020642e-4,8.86946169535319,6.795999844868978,14.515966415405273,8096,7.77777777777778e-6,5.232945564083024e-10,1e-5,0,1e-5,8096,1417.6172183794442,0.04194896195564987,1380,1050.5,1875,8096,160.06719367588963,0.004861865098533667,158,116,218
Dryopteris affinis subsp. borreri,affinis,19460,9.133872868687764,1.1285425859635382e-4,9.069146156311035,6.636739730834961,11.880343437194824,19460,21.699555920329413,1.6123453403096347e-4,22.153499603271484,17.335779190063477,25.34032497406006,19460,10.955369617049513,1.4925647729622949e-4,10.253666559855143,7.688083489735921,15.660008462270111,19460,1.6216216216216223e-6,1.9202665807390665e-10,0,0,1e-5,19460,1058.8183453237446,0.01838025227250283,978,691,1506,19460,109.9516957862277,0.002175487574180145,100,67,170
Dryopteris aitoniana,aitonia466,54,14.711707168155247,0.006174641171504565,14.640658378601074,14.640658378601074,14.704302787780762,54,21.88089402516683,0.02837418759579916,21.32526969909668,21.32526969909668,23.93482151031495,54,12.88555782812613,0.011636936129961986,13.071236610412598,12.325104490915933,13.158234278361002,54,NA,NA,NA,NA,NA,54,687,2.226332676424827,727,489.7000000000003,737,54,98.42592592592592,0.2878244165946506,101,78.10000000000002,111
Dryopteris alpestris,alpestris,207,11.535740230394445,0.013598512332875868,11.466760635375977,9.163687705993652,12.39567756652832,207,19.07748013648434,0.012172255101766687,18.790250778198242,16.703250885009766,19.334000396728516,207,15.481720795378017,0.012860391130660677,14.769833246866861,13.514583269755045,15.94558302561442,207,NA,NA,NA,NA,NA,207,3013.652173913043,2.9399001561361606,3133,2473.4,3387,207,421.47342995169083,0.44716936335487495,423,364,500
Dryopteris amurensis,amurensis,1040,1.7389892977322077,0.0032081494819192857,1.6440989971160889,-2.316333293914795,5.945000171661377,1040,22.07024592619676,0.0024529399838350667,22.112749099731445,18.93658447265625,25.407499313354492,1040,14.653117818557298,0.002287978457391989,14.396250089009603,11.75933345158895,18.012583414713543,1040,9.918674698795181e-5,8.20133794304936e-9,1e-4,1e-4,1e-4,1040,945.7740384615385,0.3267877812380086,821.5,628,1345,1040,131.64423076923077,0.04571372600664193,125,86,171.10000000000002
Dryopteris annamensis,annamensis,9,14.31811491648356,0.34010498785998755,16.182865142822266,10.24177074432373,16.529708862304688,9,23.622250239054363,0.29940773255350867,25.391000747680664,20.029499053955078,25.446250915527344,9,19.408888710869682,0.2798992143113239,20.77941640218099,16.067999521891277,21.379250208536785,9,NA,NA,NA,NA,NA,9,1158.3333333333333,20.79203313712511,1165,939,1371,9,201.55555555555554,5.827539744929931,188,153.6,276
Dryopteris antarctica,antarct624,90,14.15231573316786,0.022892028101558805,14.01258373260498,11.591792106628418,16.97825050354004,90,22.97983504401313,0.04641648644163663,22.030500411987305,18.431915283203125,27.84137554168701,90,13.59329210917155,0.03776138236096197,12.226388931274414,10.26491673787435,18.99162483215332,90,NA,NA,NA,NA,NA,90,1012.3111111111115,5.035285300401735,1222,363,1548,90,126.92222222222222,0.7108598724755514,123,52,218.3
Dryopteris antarctica,antarctica,90,14.15231573316786,0.022892028101558805,14.01258373260498,11.591792106628418,16.97825050354004,90,22.97983504401313,0.04641648644163663,22.030500411987305,18.431915283203125,27.84137554168701,90,13.59329210917155,0.03776138236096197,12.226388931274414,10.26491673787435,18.99162483215332,90,NA,NA,NA,NA,NA,90,1012.3111111111115,5.035285300401735,1222,363,1548,90,126.92222222222222,0.7108598724755514,123,52,218.3
Dryopteris anthracinisquama,anthracini,9,13.323107401529947,0.0976229326713972,13.167448043823242,12.395405769348145,14.406468391418457,9,28.013499577840168,0.12495875525163586,28.2239990234375,26.622499465942383,29.194000244140625,9,21.768778059217667,0.08943854007269864,21.54408327738444,20.97225062052409,22.790000279744465,9,NA,NA,NA,NA,NA,9,2463.6666666666665,36.252245566888334,2491,2074,2826,9,388.6666666666667,12.945994184770004,389,247.8,517
Dryopteris apiciflora,apiciflora,192,13.06585082411766,0.020388077814325566,12.39567756652832,7.937437534332275,16.218156814575195,192,20.87198056280613,0.016350066350659425,19.905875205993652,17.253250122070312,23.31624984741211,192,17.1948254853487,0.018061337437455208,15.651416460673014,13.712166786193848,19.875,192,1e-7,0,1e-7,1e-7,1e-7,192,2370.90625,3.8999630601314514,2465,1049,3129,192,384.5989583333333,0.6489559872299159,407,177.60000000000002,476.4
Dryopteris aquilinoides,aquilin634,12,16.564544439315796,0.05959272696864907,16.950302124023438,15.37932300567627,16.97825050354004,12,23.119937896728516,0.05714957416573222,23.32925033569336,22.030500411987305,23.79075050354004,12,19.54891665776571,0.06067055722149556,19.94554169972738,18.341833114624023,19.96275011698405,12,NA,NA,NA,NA,NA,12,1649.25,6.587227942746249,1664,1547,1722,12,236.25,0.5915279393488553,240,226.3,241.9
Dryopteris aquilinoides,aquilinoid,12,16.564544439315796,0.05959272696864907,16.950302124023438,15.37932300567627,16.97825050354004,12,23.119937896728516,0.05714957416573222,23.32925033569336,22.030500411987305,23.79075050354004,12,19.54891665776571,0.06067055722149556,19.94554169972738,18.341833114624023,19.96275011698405,12,NA,NA,NA,NA,NA,12,1649.25,6.587227942746249,1664,1547,1722,12,236.25,0.5915279393488553,240,226.3,241.9
Dryopteris ardechensis,ardechensi,1218,11.01165314495857,0.001149438694879316,11.148646354675293,8.995156288146973,12.42955207824707,1218,25.07143520486766,0.0013564378080139104,24.91575050354004,22.69124984741211,26.901500701904297,1218,13.001008526640769,0.0018375259401085219,13.76449998219808,8.609833399454752,15.091667175292969,1218,NA,NA,NA,NA,NA,1218,872.935960591133,0.08226541172646643,842,791,1043,1218,97.44745484400657,0.018426386994601793,84,73,122
Dryopteris arguta,arguta,20351,14.468955591365678,9.333196395536932e-5,14.4330415725708,12.40178108215332,16.888729095458984,20351,27.747081878852946,1.589857408334517e-4,27.64305877685547,23.85706329345703,32.050498962402344,20351,10.202420287703735,8.991919747596771e-5,10.099999904632568,7.817583243052165,12.840333620707193,20351,NA,NA,NA,NA,NA,20351,696.7712643113375,0.01491242504937611,682,369,1099,20351,120.2480467790284,0.0023565320313388262,110,65,190
Dryopteris athamantica,athaman407,501,18.46512089803547,0.006078704961375493,18.85591697692871,14.569229125976562,22.81900978088379,501,27.301518883771763,0.006097600101664528,26.798500061035156,23.734500885009766,31.9060001373291,501,19.764653719827802,0.004193197195844966,19.872582753499348,17.212500254313152,22.518416086832683,501,NA,NA,NA,NA,NA,501,1153.508982035928,0.7159600631552471,1090,761,1760,501,190.02594810379247,0.1307141316758873,177,118,282
Dryopteris athamantica,athaman492,501,18.46512089803547,0.006078704961375493,18.85591697692871,14.569229125976562,22.81900978088379,501,27.301518883771763,0.006097600101664528,26.798500061035156,23.734500885009766,31.9060001373291,501,19.764653719827802,0.004193197195844966,19.872582753499348,17.212500254313152,22.518416086832683,501,NA,NA,NA,NA,NA,501,1153.508982035928,0.7159600631552471,1090,761,1760,501,190.02594810379247,0.1307141316758873,177,118,282
Dryopteris athamantica,athamantic,501,18.46512089803547,0.006078704961375493,18.85591697692871,14.569229125976562,22.81900978088379,501,27.301518883771763,0.006097600101664528,26.798500061035156,23.734500885009766,31.9060001373291,501,19.764653719827802,0.004193197195844966,19.872582753499348,17.212500254313152,22.518416086832683,501,NA,NA,NA,NA,NA,501,1153.508982035928,0.7159600631552471,1090,761,1760,501,190.02594810379247,0.1307141316758873,177,118,282
Dryopteris atrata,atrata,1633,13.66361095331523,0.0012134761241466238,13.545624732971191,11.54586410522461,15.780729293823242,1633,27.774285736364316,0.0016539349477419807,28.35743522644043,24.691017150878906,30.169336318969727,1633,21.32315104823863,0.0013056406434412086,21.768749872843426,19.194666544596355,23.292332967122395,1633,2.777778e-4,0,2.777778e-4,2.777778e-4,2.777778e-4,1633,2006.1353337415808,0.27614187969883874,1991,1505,2650,1633,280.09063074096736,0.05213822194994551,262,197,392.5999999999999
Dryopteris azorica,azorica460,20286,8.07232477434498,1.658186543786162e-4,7.402552127838135,4.469822883605957,12.325812339782715,20286,26.12414699436166,1.0058451974686478e-4,26.154693603515625,23.637375831604004,28.818249702453613,20286,15.327500803353297,2.2541825619821698e-4,15.958624839782715,8.096402168273926,20.373998641967773,20286,1e-5,0,1e-5,1e-5,1e-5,20286,1107.0392881790372,0.009608404794879472,1098,851,1342,20286,115.36567090604267,0.0011961471146377189,109,96,142
Dryopteris barberigera,barberiger,93,4.174970456188725,0.05495445125610632,1.3892604112625122,-0.9318645596504211,11.54586410522461,93,16.106669549019106,0.03882915491056147,14.821000099182129,13.159749984741211,19.152000427246094,93,10.42790582615842,0.03452626160767915,9.61633332570394,7.231916586558024,15.651416460673014,93,0.01667,0,0.01667,0.01667,0.01667,93,1301.2903225806451,11.631560707562928,731,544,3133,93,203.1827956989247,1.5838539924991708,128,95.4,451.4
Dryopteris basisora,basisora,31,12.867401884448144,0.23329258452605744,14.872791290283203,1.913895845413208,18.531394958496094,31,21.831900073635964,0.17398837199905595,23.163999557495117,12.955499649047852,25.028249740600586,31,16.889214823322913,0.15885677244173757,18.114686965942383,8.7736663818359375,19.61858367919922,31,NA,NA,NA,NA,NA,31,1394.2903225806451,26.735755792131812,928,720,2447,31,187.93548387096774,2.0046760370317322,173,120,271
Dryopteris bernieri,bernier633,3,20.658056259155273,0,20.658056259155273,20.658056259155273,20.658056259155273,3,26.959421157836914,0,26.959421157836914,26.959421157836914,26.959421157836914,3,23.449758529663086,0,23.449758529663086,23.449758529663086,23.449758529663086,3,NA,NA,NA,NA,NA,3,1399,0,1399,1399,1399,3,202.33333333333334,3.1681283176407224,202,194.8,210
Dryopteris bernieri,bernieri,3,20.658056259155273,0,20.658056259155273,20.658056259155273,20.658056259155273,3,26.959421157836914,0,26.959421157836914,26.959421157836914,26.959421157836914,3,23.449758529663086,0,23.449758529663086,23.449758529663086,23.449758529663086,3,NA,NA,NA,NA,NA,3,1399,0,1399,1399,1399,3,202.33333333333334,3.1681283176407224,202,194.8,210
Dryopteris bissetiana,bissetiana,4208,12.763730508746304,4.638992376183075e-4,13.005806922912598,10.146427154541016,15.238879203796387,4208,28.35370740509758,3.594377339880592e-4,28.575233459472656,26.295000076293945,30.18496322631836,4208,21.58907298273457,5.664123654115623e-4,21.846875190734863,18.94877462387085,24.580124855041504,4208,NA,NA,NA,NA,NA,4208,1643.790161596957,0.08463664978449471,1577,1261,2146,4208,241.93108365019023,0.014133080175581047,233,179,314
Dryopteris bodinieri,bodinieri,9,16.31838544209798,0.22205951582324432,15.638093948364258,14.427291870117188,18.8897705078125,9,27.71666653951009,0.06228692893134649,28.017000198364258,26.9737491607666,28.159250259399414,9,22.959249920315212,0.09195961544566802,22.509416580200195,22.311499913533527,24.056833267211914,9,NA,NA,NA,NA,NA,9,1404.3333333333333,17.4176191481535,1321,1280,1612,9,256.77777777777777,7.103897768947679,259,184.39999999999998,333.19999999999993
Dryopteris bojeri,bojeri568,6,21.633333206176758,0,21.633333206176758,21.633333206176758,21.633333206176758,6,27.65049934387207,0,27.65049934387207,27.65049934387207,27.65049934387207,6,24.26175053914388,0,24.26175053914388,24.26175053914388,24.26175053914388,6,NA,NA,NA,NA,NA,6,1773,0,1773,1773,1773,6,247.66666666666666,3.5787438309283055,247,224,272
