Species,Rainforest
aemula,non-rainforest
affinis,non-rainforest
aitonia466,non-rainforest
alpestris,rainforest
amurensis,non-rainforest
annamensis,non-rainforest
antarct624,non-rainforest
antarctica,non-rainforest
anthracini,rainforest
apiciflora,rainforest
aquilin634,non-rainforest
aquilinoid,non-rainforest
ardechensi,non-rainforest
arguta,non-rainforest
athaman407,non-rainforest
athaman492,non-rainforest
athamantic,non-rainforest
atrata,rainforest
azorica460,non-rainforest
barberiger,non-rainforest
basisora,non-rainforest
bissetiana,non-rainforest
bodinieri,non-rainforest
campylopte,non-rainforest
carthusian,non-rainforest
caucasica,non-rainforest
caudipinna,rainforest
celsa,non-rainforest
championii,non-rainforest
chinensis,non-rainforest
christense,rainforest
chrysocoma,non-rainforest
cinnamomea,non-rainforest
clarkei,rainforest
clintonian,non-rainforest
cochleata,non-rainforest
commixta,rainforest
coreano-mo,non-rainforest
corleyi,non-rainforest
costalisor,rainforest
crassirhiz,non-rainforest
crinalis,non-rainforest
crispifoli,non-rainforest
cristata,non-rainforest
cycadina,non-rainforest
decipiens,rainforest
diacalpe,non-rainforest
dickinsii,non-rainforest
diffracta,rainforest
dilatata,non-rainforest
dracomo635,non-rainforest
emeiensis,rainforest
erythrosor,non-rainforest
expansa,non-rainforest
exstipella,rainforest
fadenii459,non-rainforest
filix-mas,non-rainforest
flaccisqua,rainforest
formosana,rainforest
fragrans,non-rainforest
fuscipes,non-rainforest
fuscoatra,non-rainforest
futura,non-rainforest
gamblei,non-rainforest
glabra,non-rainforest
glabra,non-rainforest
goeringian,non-rainforest
goldiana,non-rainforest
guanchica,non-rainforest
gymnophyll,non-rainforest
gymnosora,rainforest
hadanoi,rainforest
handeliana,rainforest
hangchowen,rainforest
hasseltii,rainforest
hawaiiensi,non-rainforest
hendersoni,rainforest
heterolaen,non-rainforest
hondoensis,non-rainforest
huberi,non-rainforest
inaequa401,non-rainforest
inaequa632,non-rainforest
indusiata,rainforest
integrilob,rainforest
intermedia,non-rainforest
juxtaposit,non-rainforest
karwinskya,non-rainforest
kawakamii,rainforest
kilemen489,non-rainforest
kilemen505,non-rainforest
kinkiensis,non-rainforest
knoblochii,non-rainforest
koidsumian,rainforest
komarovii,rainforest
labordei,rainforest
lacera,non-rainforest
lepidopoda,rainforest
lewalle500,non-rainforest
lewalle501,non-rainforest
lewalle637,non-rainforest
ludovician,non-rainforest
lunanensis,rainforest
maderensis,non-rainforest
mannian510,non-rainforest
marginalis,non-rainforest
mauiensis,non-rainforest
maximowicz,non-rainforest
maxonii,non-rainforest
medioxima,non-rainforest
melanocarp,rainforest
monticola,non-rainforest
munchii,non-rainforest
namegatae,rainforest
neolacera,non-rainforest
nodosa,rainforest
nubigena,rainforest
odontoloma,non-rainforest
oligodo640,non-rainforest
oligodonta,non-rainforest
oreades,non-rainforest
pacifica,non-rainforest
paleolata,rainforest
pallida,non-rainforest
pallida523,non-rainforest
panda,non-rainforest
patula,non-rainforest
penther400,non-rainforest
penther636,non-rainforest
pentheri,non-rainforest
peranema,rainforest
polita,rainforest
polylepis,non-rainforest
pseudocaen,non-rainforest
pseudofili,non-rainforest
pulcherrim,non-rainforest
pycnoptero,non-rainforest
reflexosqu,rainforest
remota,non-rainforest
rosea,non-rainforest
rossii,non-rainforest
rosthornii,non-rainforest
rubiginosa,non-rainforest
ryo-itoana,rainforest
sabaei,non-rainforest
sacrosanct,non-rainforest
saffordii,non-rainforest
sandwicens,non-rainforest
saxifraga,non-rainforest
saxifragiv,non-rainforest
schimpe405,non-rainforest
schimpe527,non-rainforest
schimpe639,non-rainforest
schnell455,non-rainforest
scottii,rainforest
setosa,non-rainforest
shikokiana,rainforest
shiroumens,rainforest
sieboldii,rainforest
simasakii,rainforest
sinofibril,non-rainforest
sordidipes,rainforest
sororia,rainforest
sparsa,rainforest
squamifera,non-rainforest
squamis504,rainforest
stenolepis,rainforest
stewartii,non-rainforest
subbipinna,non-rainforest
subcren638,non-rainforest
subexaltat,rainforest
sublacera,non-rainforest
tetrapinna,non-rainforest
tokyoensis,non-rainforest
transmorri,rainforest
tsugiwoi,rainforest
tyrrhen494,non-rainforest
unidentata,non-rainforest
uniformis,non-rainforest
varia,rainforest
villari414,non-rainforest
wallichian,non-rainforest
wattsii,rainforest
yakusilvic,rainforest
zhuweiming,rainforest
