verbatim_name,RecordCount
Dryopteris aemula,4566
Dryopteris affinis subsp. borreri,13428
Dryopteris aitoniana,25
Dryopteris alpestris,82
Dryopteris amurensis,454
Dryopteris anadroma,2
Dryopteris annamensis,10
Dryopteris antarctica,51
Dryopteris anthracinisquama,5
Dryopteris apiciflora,110
Dryopteris aquilinoides,4
Dryopteris ardechensis,453
Dryopteris arguta,6613
Dryopteris athamantica,202
Dryopteris atrata,967
Dryopteris azorica,20818
Dryopteris barberigera,52
Dryopteris basisora,32
Dryopteris bernieri,2
Dryopteris bissetiana,3874
Dryopteris bodinieri,10
Dryopteris bojeri,3
Dryopteris campyloptera,1069
Dryopteris carthusiana,226715
Dryopteris caucasica,122
Dryopteris caudipinna,91
Dryopteris celsa,289
Dryopteris championii,1522
Dryopteris chinensis,2792
Dryopteris christensenae,24
Dryopteris chrysocoma,59
Dryopteris cinnamomea,256
Dryopteris clarkei,33
Dryopteris clintoniana,617
Dryopteris cochleata,63
Dryopteris cognata,2
Dryopteris commixta,316
Dryopteris conjugata,6
Dryopteris coreano-montana,185
Dryopteris corleyi,39
Dryopteris costalisora,40
Dryopteris crassirhizoma,3893
Dryopteris crinalis,28
Dryopteris crispifolia,916
Dryopteris cristata,18270
Dryopteris cycadina,923
Dryopteris decipiens,542
Dryopteris diacalpe,162
Dryopteris dickinsii,1052
Dryopteris diffracta,96
Dryopteris dilatata,167920
Dryopteris dracomontana,22
Dryopteris emeiensis,301
Dryopteris erythrosora,9044
Dryopteris expansa,44776
Dryopteris exstipellata,300
Dryopteris fadenii,7
Dryopteris filix-mas,263007
Dryopteris flaccisquama,34
Dryopteris formosana,645
Dryopteris fragrans,4059
Dryopteris fuscipes,1759
Dryopteris fuscoatra var. lamoureuxii,35
Dryopteris futura,23
Dryopteris gamblei,14
Dryopteris glabra var. glabra,82
Dryopteris glabra var. soripes,82
Dryopteris glandulosopaleata,1
Dryopteris goeringiana,196
Dryopteris goldiana,1807
Dryopteris guanchica,177
Dryopteris gymnophylla,381
Dryopteris gymnosora,163
Dryopteris hadanoi,23
Dryopteris handeliana,83
Dryopteris hangchowensis,12
Dryopteris hasseltii,178
Dryopteris hawaiiensis,9
Dryopteris hendersonii,109
Dryopteris heterolaena,18
Dryopteris hondoensis,1788
Dryopteris huberi,22
Dryopteris inaequalis,311
Dryopteris indusiata,214
Dryopteris insularis var. insularis,4
Dryopteris integriloba,53
Dryopteris intermedia,20886
Dryopteris juxtaposita,31
Dryopteris karwinskyana,84
Dryopteris katangaensis,1
Dryopteris kawakamii,102
Dryopteris kilemensis,68
Dryopteris kinkiensis,211
Dryopteris knoblochii,24
Dryopteris koidsumiana,50
Dryopteris komarovii,58
Dryopteris labordei,134
Dryopteris lacera,3933
Dryopteris lepidopoda,183
Dryopteris lewalleana,71
Dryopteris ludoviciana,398
Dryopteris lunanensis,69
Dryopteris maderensis,20818
Dryopteris manniana,82
Dryopteris marginalis,13996
Dryopteris mauiensis,8
Dryopteris maximowiczii,402
Dryopteris maxonii,125
Dryopteris medioxima,1759
Dryopteris melanocarpa,74
Dryopteris monticola,1648
Dryopteris munchii,4
Dryopteris namegatae,144
Dryopteris neolacera,61
Dryopteris nodosa,255
Dryopteris nubigena,35
Dryopteris occidentalis,1
Dryopteris odontoloma,28
Dryopteris oligodonta,362
Dryopteris oreades,2602
Dryopteris pacifica,2754
Dryopteris paleolata,300
Dryopteris pallida,494
Dryopteris panda,17
Dryopteris patula,464
Dryopteris pentheri,137
Dryopteris peranema,224
Dryopteris polita,202
Dryopteris polylepis,1178
Dryopteris protobissetiana,2
Dryopteris pseudocaenopteris,161
Dryopteris pseudofilix-mas,51
Dryopteris pulcherrima,89
Dryopteris pycnopteroides,29
Dryopteris reflexosquamata,59
Dryopteris remota,1312
Dryopteris rosea,256
Dryopteris rossii,288
Dryopteris rosthornii,55
Dryopteris rubiginosa,23
Dryopteris rubrobrunnea,3
Dryopteris ryo-itoana,49
Dryopteris sabaei,1989
Dryopteris sacrosancta,1999
Dryopteris saffordii,9
Dryopteris sandwicensis,44
Dryopteris saxifraga,1456
Dryopteris saxifragivaria,129
Dryopteris schimperiana,21
Dryopteris schnellii,11
Dryopteris scottii,269
Dryopteris setosa,7721
Dryopteris shibipedis,2
Dryopteris shikokiana,172
Dryopteris shiroumensis,18
Dryopteris sieboldii,332
Dryopteris simasakii var. simasakii,54
Dryopteris sinofibrillosa,89
Dryopteris sordidipes,504
Dryopteris sororia,3
Dryopteris sparsa,1514
Dryopteris squamifera,32
Dryopteris squamiseta,70
Dryopteris stenolepis,42
Dryopteris stewartii,39
Dryopteris subbipinnata,6
Dryopteris subcrenulata,52
Dryopteris subexaltata,178
Dryopteris sublacera,72
Dryopteris subpycnopteroides,3
Dryopteris tetrapinnata,9
Dryopteris tokyoensis,612
Dryopteris transmorrisonensis,52
Dryopteris tricellularis,1
Dryopteris tsugiwoi,5
Dryopteris tsutsuiana,3
Dryopteris tyrrhena,154
Dryopteris unidentata var. unidentata,43
Dryopteris uniformis,3861
Dryopteris varia,1649
Dryopteris villarii,1851
Dryopteris wallichiana,2031
Dryopteris wattsii,16
Dryopteris yakusilvicola,26
Dryopteris zhuweimingii,224
