usageKey,scientificName,canonicalName,rank,status,confidence,matchType,kingdom,phylum,order,family,genus,species,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,synonym,class,acceptedUsageKey,verbatim_name
11330319,Dryopteris zhuweimingii LiBingZhang,Dryopteris zhuweimingii,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Polypodiales,Dryopteridaceae,Dryopteris,Dryopteris zhuweimingii,6,7707728,7228684,392,2373,2651126,11330319,FALSE,Polypodiopsida,NA,Dryopteris zhuweimingii
7778550,Dryopteris zhuweimingii Li Bing Zhang,Dryopteris zhuweimingii,SPECIES,SYNONYM,97,EXACT,Plantae,Tracheophyta,Polypodiales,Dryopteridaceae,Dryopteris,Dryopteris peranema,6,7707728,7228684,392,2373,2651126,7871366,TRUE,Polypodiopsida,7871366,Dryopteris zhuweimingii
5657754,Dryopteris ×yakusilvicola Sa.Kurata,Dryopteris yakusilvicola,SPECIES,SYNONYM,98,EXACT,Plantae,Tracheophyta,Polypodiales,Dryopteridaceae,Dryopteris,Dryopteris cacaina,6,7707728,7228684,392,2373,2651126,5655657,TRUE,Polypodiopsida,5655657,Dryopteris yakusilvicola
7541750,"Dryopteris wattsii Mc Keown, Sundue & Barrington",Dryopteris wattsii,SPECIES,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Polypodiales,Dryopteridaceae,Dryopteris,Dryopteris wattsii,6,7707728,7228684,392,2373,2651126,7541750,FALSE,Polypodiopsida,NA,Dryopteris wattsii
11260727,Dryopteris wattsii McKeown et al.,Dryopteris wattsii,SPECIES,DOUBTFUL,96,EXACT,Plantae,Tracheophyta,Polypodiales,Dryopteridaceae,Dryopteris,Dryopteris wattsii,6,7707728,7228684,392,2373,2651126,11260727,FALSE,Polypodiopsida,NA,Dryopteris wattsii
5275137,Dryopteris wallichiana (Spreng.) Hyl.,Dryopteris wallichiana,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Polypodiales,Dryopteridaceae,Dryopteris,Dryopteris wallichiana,6,7707728,7228684,392,2373,2651126,5275137,FALSE,Polypodiopsida,NA,Dryopteris wallichiana
8363766,Dryopteris wallichiana (Spreng.) Alston & Bonner,Dryopteris wallichiana,SPECIES,SYNONYM,97,EXACT,Plantae,Tracheophyta,Polypodiales,Dryopteridaceae,Dryopteris,Dryopteris wallichiana,6,7707728,7228684,392,2373,2651126,5275137,TRUE,Polypodiopsida,7319074,Dryopteris wallichiana
5653274,Dryopteris varia (L.) Kuntze,Dryopteris varia,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Polypodiales,Dryopteridaceae,Dryopteris,Dryopteris varia,6,7707728,7228684,392,2373,2651126,5653274,FALSE,Polypodiopsida,NA,Dryopteris varia
9633722,"Dryopteris varia (L.) Ktze., 1891",Dryopteris varia,SPECIES,SYNONYM,97,EXACT,Plantae,Tracheophyta,Polypodiales,Dryopteridaceae,Dryopteris,Dryopteris varia,6,7707728,7228684,392,2373,2651126,5653274,TRUE,Polypodiopsida,5653274,Dryopteris varia
7319140,Dryopteris uniformis (Makino) Makino,Dryopteris uniformis,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Polypodiales,Dryopteridaceae,Dryopteris,Dryopteris uniformis,6,7707728,7228684,392,2373,2651126,7319140,FALSE,Polypodiopsida,NA,Dryopteris uniformis
