accession,gb_species,species
KT831867,Dryopteris zhuweimingii,Dryopteris zhuweimingii
AB575180,Dryopteris yakusilvicola,Dryopteris yakusilvicola
JX028224,Dryopteris wattsii,Dryopteris wattsii
JN189497,Dryopteris wallichiana,Dryopteris wallichiana
KC896552,Dryopteris varia,Dryopteris varia
JN189555,Dryopteris uniformis,Dryopteris uniformis
AY268825,Dryopteris unidentata var. unidentata,Dryopteris unidentata var. unidentata
AB575176,Dryopteris tsutsuiana,Dryopteris tsutsuiana
AB575175,Dryopteris tsugiwoi,Dryopteris tsugiwoi
KJ196813,Dryopteris nidus,Dryopteris transmorrisonensis
JN189578,Dryopteris tokyoensis,Dryopteris tokyoensis
AY268838,Dryopteris tetrapinnata,Dryopteris tetrapinnata
AY587113,Dryopteris subpycnopteroides,Dryopteris subpycnopteroides
JN189554,Dryopteris sublacera,Dryopteris sublacera
KC896546,Dryopteris subexaltata,Dryopteris subexaltata
JN189579,Dryopteris subbipinnata,Dryopteris subbipinnata
JN189586,Dryopteris stewartii,Dryopteris stewartii
JN189553,Dryopteris stenolepis,Dryopteris stenolepis
DQ508777,Dryopteris squamifera,Dryopteris squamifera
JN189601,Dryopteris sparsa,Dryopteris sparsa
KC878849,Dryopteris sororia,Dryopteris sororia
AB908372,Dryopteris sordidipes,Dryopteris sordidipes
AY587118,Dryopteris sinofibrillosa,Dryopteris sinofibrillosa
AB575170,Dryopteris simasakii var. simasakii,Dryopteris simasakii var. simasakii
JN189595,Dryopteris sieboldii,Dryopteris sieboldii
AB575168,Dryopteris shiroumensis,Dryopteris shiroumensis
JX648112,Dryopteris shikokiana,Dryopteris shikokiana
AB575166,Dryopteris shibipedis,Dryopteris shibipedis
AY587123,Dryopteris setosa,Dryopteris setosa
JN189552,Dryopteris scottii,Dryopteris scottii
KC896567,Dryopteris saxifragivaria,Dryopteris saxifragivaria
KC896564,Dryopteris saxifraga,Dryopteris saxifraga
AY268827,Dryopteris sandwicensis,Dryopteris sandwicensis
JN189525,Dryopteris saffordii,Dryopteris saffordii
JN189592,Dryopteris sacrosancta,Dryopteris sacrosancta
AB575162,Dryopteris sabae,Dryopteris sabaei
AB575161,Dryopteris ryo-itoana,Dryopteris ryo-itoana
JX535862,Dryopteris rubrobrunnea,Dryopteris rubrobrunnea
AY268836,Dryopteris rubiginosa,Dryopteris rubiginosa
JX535861,Dryopteris rosthornii,Dryopteris rosthornii
JN189531,Dryopteris rossii,Dryopteris rossii
JN189524,Dryopteris rosea,Dryopteris rosea
JN189530,Dryopteris remota,Dryopteris remota
JN189604,Dryopteris reflexosquamata,Dryopteris reflexosquamata
JN189584,Dryopteris pycnopteroides,Dryopteris pycnopteroides
JN189515,Dryopteris pulcherrima,Dryopteris pulcherrima
JN189523,Dryopteris pseudofilix-mas,Dryopteris pseudofilix-mas
KT831864,Dryopteris pseudocaenopteris,Dryopteris pseudocaenopteris
AB914474,Dryopteris protobissetiana,Dryopteris protobissetiana
JN189589,Dryopteris polylepis,Dryopteris polylepis
KJ196824,Dryopteris polita,Dryopteris polita
DQ508784,Dryopteris peranema,Dryopteris peranema
JN189500,Dryopteris patula,Dryopteris patula
JN189551,Dryopteris panda,Dryopteris panda
KT831862,Dryopteris paleolata,Dryopteris paleolata
AB908378,Dryopteris pacifica,Dryopteris pacifica
AY268850,Dryopteris oreades,Dryopteris oreades
JN189574,Dryopteris oligodonta,Dryopteris oligodonta
JN189590,Dryopteris odontoloma,Dryopteris odontoloma
JN189501,Dryopteris nubigena,Dryopteris nubigena
AB575065,Dryopteris nodosa,Dryopteris nodosa
EF463129,Dryopteris neolacera,Dryopteris neolacera
AB575155,Dryopteris namegatae,Dryopteris namegatae
JN189535,Dryopteris munchii,Dryopteris munchii
AB575153,Dryopteris melanocarpa,Dryopteris melanocarpa
AB575152,Dryopteris medioxima,Dryopteris medioxima
JN189529,Dryopteris maxonii,Dryopteris maxonii
EF540721,Dryopteris maximowiczii,Dryopteris maximowiczii
AY268833,Dryopteris mauiensis,Dryopteris mauiensis
JN189502,Dryopteris marginalis,Dryopteris marginalis
JN189599,Dryopteris intermedia subsp. maderensis,Dryopteris maderensis
AB575150,Dryopteris lunanensis,Dryopteris lunanensis
JN189513,Dryopteris ludoviciana,Dryopteris ludoviciana
AY268854,Dryopteris lepidopoda,Dryopteris lepidopoda
JN189585,Dryopteris lacera,Dryopteris lacera
JN189602,Dryopteris labordei,Dryopteris labordei
JN189550,Dryopteris komarovii,Dryopteris komarovii
AB908381,Dryopteris koidzumiana,Dryopteris koidsumiana
JN189522,Dryopteris knoblochii,Dryopteris knoblochii
KC896548,Dryopteris kinkiensis,Dryopteris kinkiensis
KT831861,Dryopteris kawakamii,Dryopteris kawakamii
JN189521,Dryopteris karwinskyana,Dryopteris karwinskyana
JN189549,Dryopteris juxtaposita,Dryopteris juxtaposita
JQ935261,Dryopteris intermedia,Dryopteris intermedia
KJ196808,Dryopteris integriloba,Dryopteris integriloba
AB575141,Dryopteris chichisimensis,Dryopteris insularis var. insularis
AB575140,Dryopteris erythrosora,Dryopteris indusiata
JN189520,Dryopteris huberi,Dryopteris huberi
JN189583,Dryopteris hondoensis,Dryopteris hondoensis
EF460682,Dryopteris heterolaena,Dryopteris heterolaena
DQ508783,Dryopteris hendersonii,Dryopteris hendersonii
JN189580,Dryopteris hawaiiensis,Dryopteris hawaiiensis
AB575136,Dryopteris hasseltii,Dryopteris hasseltii
AB575135,Dryopteris commixta,Dryopteris hangchowensis
AB575134,Dryopteris handeliana,Dryopteris handeliana
AB575133,Dryopteris hadanoi,Dryopteris hadanoi
JN189546,Dryopteris gymnosora,Dryopteris gymnosora
KC896545,Dryopteris gymnophylla,Dryopteris gymnophylla
JN189573,Dryopteris guanchica,Dryopteris guanchica
KC896540,Dryopteris monticola,Dryopteris monticola
JN189505,Dryopteris goldieana,Dryopteris goldiana
KC896541,Dryopteris goeringiana,Dryopteris goeringiana
AY268842,Dryopteris glabra var. soripes,Dryopteris glabra var. soripes
AY268830,Dryopteris glabra var. glabra,Dryopteris glabra var. glabra
AY587112,Dryopteris gamblei,Dryopteris gamblei
JN189534,Dryopteris futura,Dryopteris futura
AY268841,Dryopteris fuscoatra var. lamoureuxii,Dryopteris fuscoatra var. lamoureuxii
KC896549,Dryopteris fuscipes,Dryopteris fuscipes
JN189512,Dryopteris fragrans,Dryopteris fragrans
JN189545,Dryopteris formosana,Dryopteris formosana
JN189519,Dryopteris flaccisquama,Dryopteris flaccisquama
JN189507,Dryopteris filix-mas,Dryopteris filix-mas 66
JX535857,Dryopteris exstipellata,Dryopteris exstipellata
JN189506,Dryopteris expansa,Dryopteris expansa
JN189581,Dryopteris erythrosora,Dryopteris erythrosora
JX648111,Dryopteris emeiensis,Dryopteris emeiensis
JN189575,Dryopteris dilatata,Dryopteris dilatata
KT831860,Dryopteris diffracta,Dryopteris diffracta
JN189598,Dryopteris dickinsii,Dryopteris dickinsii
JX535864,Dryopteris diacalpe,Dryopteris diacalpe
KT831859,Dryopteris decipiens,Dryopteris decipiens
KT831858,Dryopteris cycadina,Dryopteris cycadina
JN189514,Dryopteris cristata,Dryopteris cristata
JN189597,Dryopteris crispifolia,Dryopteris crispifolia
AY268835,Dryopteris crinalis,Dryopteris crinalis
JN189543,Dryopteris crassirhizoma,Dryopteris crassirhizoma
JN189603,Dryopteris costalisora,Dryopteris costalisora
AY268873,Dryopteris corleyi,Dryopteris corleyi
AB575121,Dryopteris coreanomontana,Dryopteris coreano-montana
AY587116,Dryopteris conjugata,Dryopteris conjugata
AB575120,Dryopteris commixta,Dryopteris commixta
AY587121,Dryopteris cochleata,Dryopteris cochleata
JN189498,Dryopteris clintoniana,Dryopteris clintoniana
DQ054525,Dryopteris clarkei,Dryopteris clarkei
JN189528,Dryopteris cinnamomea,Dryopteris cinnamomea
JN189542,Dryopteris chrysocoma,Dryopteris chrysocoma
KJ196809,Dryopteris christensenae,Dryopteris christensenae
KC896543,Dryopteris chinensis,Dryopteris chinensis
KT831857,Dryopteris championii,Dryopteris championii
JN189499,Dryopteris celsa,Dryopteris celsa
LC043077,Dryopteris caudipinna,Dryopteris caudipinna
JN189540,Dryopteris caucasica,Dryopteris caucasica
JN189511,Dryopteris carthusiana,Dryopteris carthusiana
JQ935255,Dryopteris campyloptera,Dryopteris campyloptera
KP271073,Dryopteris bodinieri,Dryopteris bodinieri
KC896561,Dryopteris bissetiana,Dryopteris bissetiana
AY587119,Dryopteris basisora,Dryopteris basisora
JN189539,Dryopteris barbigera,Dryopteris barberigera
DQ508771,Dryopteris atrata,Dryopteris atrata
JQ935258,Dryopteris arguta,Dryopteris arguta
JN189596,Dryopteris ardechensis,Dryopteris ardechensis
KT831856,Dryopteris apiciflora,Dryopteris apiciflora
AB575114,Dryopteris anthracinisquama,Dryopteris anthracinisquama
EF463125,Dryopteris annamensis,Dryopteris annamensis
AB575113,Dryopteris anadroma,Dryopteris anadroma
AB575112,Dryopteris amurensis,Dryopteris amurensis
JN189536,Dryopteris alpestris,Dryopteris alpestris
AY268847,Dryopteris borreri,Dryopteris affinis subsp. borreri
AY268881,Dryopteris aemula,Dryopteris aemula
KY073661,Dryopteris villarii,Dryopteris villarii E414
KY073660,Dryopteris tyrrhena,Dryopteris tyrrhena E494
KY073659,Dryopteris tricellularis,Dryopteris tricellularis E456
KY073658,Dryopteris subcrenulata,Dryopteris subcrenulata E638
KY073657,Dryopteris squamiseta,Dryopteris squamiseta E504
KY073656,Dryopteris schnellii,Dryopteris schnellii E455
KY073655,Dryopteris schimperiana,Dryopteris schimperiana E639
JN189576,Dryopteris pentheri,Dryopteris pentheri
JN189591,Dryopteris pallida,Dryopteris pallida
KY073652,Dryopteris oligodonta,Dryopteris oligodonta E640
KY073651,Dryopteris occidentalis,Dryopteris occidentalis E458
KY073650,Dryopteris manniana,Dryopteris manniana E510
KY073649,Dryopteris lewalleana,Dryopteris lewalleana E637
KY073647,Dryopteris kilemensis,Dryopteris kilemensis E505
KY073645,Dryopteris katangaensis,Dryopteris katangaensis E626
KY073644,Dryopteris inaequalis,Dryopteris inaequalis E632
