NSSitesModel,nParam,lnL,ChiSq,df,PValue,AIC,Parameter,Value
3,373,-8055.589409,510.9161889999996,4,2.917263190789654e-109,16857.178818,K,7.79894
3,373,-8055.589409,510.9161889999996,4,2.917263190789654e-109,16857.178818,p_1,0.90313
3,373,-8055.589409,510.9161889999996,4,2.917263190789654e-109,16857.178818,p_0,0.04765
3,373,-8055.589409,510.9161889999996,4,2.917263190789654e-109,16857.178818,p_2,0.04922
3,373,-8055.589409,510.9161889999996,4,2.917263190789654e-109,16857.178818,w_0,0.045469999999999997
3,373,-8055.589409,510.9161889999996,4,2.917263190789654e-109,16857.178818,w_1,2.00949
3,373,-8055.589409,510.9161889999996,4,2.917263190789654e-109,16857.178818,w_2,46.46438
7,370,-8209.764374,NA,NA,NA,16863.130542,K,6.73417
7,370,-8209.764374,NA,NA,NA,16863.130542,p,0.0777
7,370,-8209.764374,NA,NA,NA,16863.130542,q,0.36932
7,370,-8209.764374,NA,NA,NA,16863.130542,p_0,0.1
7,370,-8209.764374,NA,NA,NA,16863.130542,p_1,0.1
7,370,-8209.764374,NA,NA,NA,16863.130542,p_2,0.1
7,370,-8209.764374,NA,NA,NA,16863.130542,p_3,0.1
7,370,-8209.764374,NA,NA,NA,16863.130542,p_4,0.1
7,370,-8209.764374,NA,NA,NA,16863.130542,p_5,0.1
7,370,-8209.764374,NA,NA,NA,16863.130542,p_6,0.1
7,370,-8209.764374,NA,NA,NA,16863.130542,p_7,0.1
7,370,-8209.764374,NA,NA,NA,16863.130542,p_8,0.1
7,370,-8209.764374,NA,NA,NA,16863.130542,p_9,0.1
7,370,-8209.764374,NA,NA,NA,16863.130542,w_0,0
7,370,-8209.764374,NA,NA,NA,16863.130542,w_1,0
7,370,-8209.764374,NA,NA,NA,16863.130542,w_2,0
7,370,-8209.764374,NA,NA,NA,16863.130542,w_3,1e-5
7,370,-8209.764374,NA,NA,NA,16863.130542,w_4,2.5e-4
7,370,-8209.764374,NA,NA,NA,16863.130542,w_5,0.00334
7,370,-8209.764374,NA,NA,NA,16863.130542,w_6,0.02827
7,370,-8209.764374,NA,NA,NA,16863.130542,w_7,0.16361
7,370,-8209.764374,NA,NA,NA,16863.130542,w_8,0.57468
7,370,-8209.764374,NA,NA,NA,16863.130542,w_9,0.96955
2,372,-8061.565271,149.80061399999886,2,2.959442981802529e-33,16867.130542,K,7.44544
2,372,-8061.565271,149.80061399999886,2,2.959442981802529e-33,16867.130542,p_0,0.88052
2,372,-8061.565271,149.80061399999886,2,2.959442981802529e-33,16867.130542,p_1,0.0721
2,372,-8061.565271,149.80061399999886,2,2.959442981802529e-33,16867.130542,p_2,0.04738
2,372,-8061.565271,149.80061399999886,2,2.959442981802529e-33,16867.130542,w_0,0.03289
2,372,-8061.565271,149.80061399999886,2,2.959442981802529e-33,16867.130542,w_1,1
2,372,-8061.565271,149.80061399999886,2,2.959442981802529e-33,16867.130542,w_2,41.95487
8,372,-8088.787872,120.97650200000044,2,5.3738602812863815e-27,16921.575744,K,7.55139
8,372,-8088.787872,120.97650200000044,2,5.3738602812863815e-27,16921.575744,p0,0.95541
8,372,-8088.787872,120.97650200000044,2,5.3738602812863815e-27,16921.575744,p,0.06713
8,372,-8088.787872,120.97650200000044,2,5.3738602812863815e-27,16921.575744,q,0.42721
8,372,-8088.787872,120.97650200000044,2,5.3738602812863815e-27,16921.575744,(p1,0.04459
8,372,-8088.787872,120.97650200000044,2,5.3738602812863815e-27,16921.575744,p_0,0.09554
8,372,-8088.787872,120.97650200000044,2,5.3738602812863815e-27,16921.575744,p_1,0.09554
8,372,-8088.787872,120.97650200000044,2,5.3738602812863815e-27,16921.575744,p_2,0.09554
8,372,-8088.787872,120.97650200000044,2,5.3738602812863815e-27,16921.575744,p_3,0.09554
8,372,-8088.787872,120.97650200000044,2,5.3738602812863815e-27,16921.575744,p_4,0.09554
8,372,-8088.787872,120.97650200000044,2,5.3738602812863815e-27,16921.575744,p_5,0.09554
8,372,-8088.787872,120.97650200000044,2,5.3738602812863815e-27,16921.575744,p_6,0.09554
8,372,-8088.787872,120.97650200000044,2,5.3738602812863815e-27,16921.575744,p_7,0.09554
8,372,-8088.787872,120.97650200000044,2,5.3738602812863815e-27,16921.575744,p_8,0.09554
8,372,-8088.787872,120.97650200000044,2,5.3738602812863815e-27,16921.575744,p_9,0.09554
8,372,-8088.787872,120.97650200000044,2,5.3738602812863815e-27,16921.575744,p_10,0.04459
8,372,-8088.787872,120.97650200000044,2,5.3738602812863815e-27,16921.575744,w_0,0
8,372,-8088.787872,120.97650200000044,2,5.3738602812863815e-27,16921.575744,w_1,0
8,372,-8088.787872,120.97650200000044,2,5.3738602812863815e-27,16921.575744,w_2,0
8,372,-8088.787872,120.97650200000044,2,5.3738602812863815e-27,16921.575744,w_3,0
8,372,-8088.787872,120.97650200000044,2,5.3738602812863815e-27,16921.575744,w_4,4e-5
