NSSitesModel,Site,w,SE,PosteriorProb
2,1,0.055,0.068,NA
2,2,0.057,0.084,NA
2,3,0.186,0.333,NA
2,4,0.051,0.029,NA
2,5,0.068,0.128,NA
2,6,0.055,0.066,NA
2,7,0.051,0.029,NA
2,8,0.092,0.195,NA
2,9,0.066,0.123,NA
2,10,1.008,0.174,NA
2,11,0.05,0.014,NA
2,12,0.05,0.011,NA
2,13,0.05,0.007,NA
2,14,0.05,0.014,NA
2,15,0.05,0.007,NA
2,16,0.05,0.012,NA
2,17,0.116,0.242,NA
2,18,0.05,0.013,NA
2,19,0.05,0.012,NA
2,20,0.784,0.398,NA
2,21,0.051,0.028,NA
2,22,0.052,0.047,NA
2,23,0.05,0.014,NA
2,24,0.051,0.03,NA
2,25,0.052,0.048,NA
2,26,0.051,0.028,NA
2,27,0.05,0.013,NA
2,28,0.054,0.06,NA
2,29,0.053,0.052,NA
2,30,0.05,0.009,NA
2,31,0.051,0.022,NA
2,32,0.05,0.01,NA
2,33,0.05,0.012,NA
2,34,0.05,0.013,NA
2,35,0.05,0.009,NA
2,36,0.051,0.025,NA
2,37,0.05,0.013,NA
2,38,0.05,0.009,NA
2,39,0.051,0.03,NA
2,40,0.05,0.01,NA
2,41,0.051,0.029,NA
2,42,0.051,0.029,NA
2,43,0.051,0.032,NA
2,44,0.05,0.009,NA
2,45,0.071,0.139,NA
2,46,0.168,0.326,NA
2,47,0.05,0.014,NA
2,48,0.05,0.011,NA
2,49,0.05,0.013,NA
2,50,0.057,0.079,NA
2,51,0.05,0.015,NA
2,52,0.05,0.007,NA
2,53,0.051,0.028,NA
2,54,0.063,0.114,NA
2,55,0.05,0.014,NA
2,56,0.05,0.01,NA
2,57,0.051,0.023,NA
2,58,0.05,0.01,NA
2,59,0.051,0.025,NA
2,60,0.051,0.028,NA
2,61,0.051,0.024,NA
2,62,0.05,0.012,NA
2,63,0.054,0.058,NA
2,64,0.051,0.029,NA
2,65,0.051,0.028,NA
2,66,0.05,0.01,NA
2,67,0.053,0.054,NA
2,68,0.05,0.011,NA
2,69,0.051,0.029,NA
2,70,0.05,0.013,NA
2,71,0.05,0.009,NA
2,72,0.051,0.022,NA
2,73,0.05,0.022,NA
2,74,0.05,0.014,NA
2,75,0.05,0.01,NA
2,76,0.055,0.069,NA
2,77,0.051,0.022,NA
2,78,0.05,0.012,NA
2,79,0.051,0.026,NA
2,80,0.051,0.022,NA
2,81,0.05,0.013,NA
2,82,0.05,0.009,NA
2,83,0.051,0.022,NA
2,84,0.051,0.024,NA
2,85,0.056,0.075,NA
2,86,0.05,0.007,NA
2,87,0.053,0.057,NA
2,88,0.051,0.023,NA
2,89,0.05,0.01,NA
2,90,0.05,0.01,NA
2,91,0.05,0.009,NA
2,92,0.051,0.025,NA
2,93,0.05,0.013,NA
2,94,0.05,0.014,NA
2,95,0.052,0.047,NA
2,96,5.903,0.813,1.000
2,97,1.003,0.111,NA
2,98,0.05,0.014,NA
2,99,0.051,0.024,NA
2,100,0.05,0.009,NA
2,101,0.054,0.059,NA
2,102,0.05,0.009,NA
2,103,0.05,0.007,NA
2,104,0.05,0.011,NA
2,105,1.003,0.098,NA
2,106,0.05,0.013,NA
2,107,0.058,0.086,NA
2,108,0.051,0.025,NA
2,109,0.05,0.009,NA
2,110,0.053,0.057,NA
2,111,0.051,0.03,NA
2,112,0.05,0.009,NA
2,113,0.118,0.247,NA
2,114,0.051,0.029,NA
2,115,0.056,0.078,NA
2,116,0.05,0.01,NA
2,117,0.05,0.01,NA
2,118,0.051,0.024,NA
2,119,0.115,0.241,NA
2,120,0.05,0.01,NA
2,121,0.051,0.028,NA
2,122,0.051,0.028,NA
2,123,0.05,0.009,NA
2,124,0.051,0.022,NA
2,125,0.051,0.024,NA
2,126,0.05,0.011,NA
2,127,0.05,0.01,NA
2,128,0.051,0.023,NA
2,129,0.461,0.471,NA
2,130,0.054,0.059,NA
2,131,0.053,0.051,NA
2,132,0.051,0.023,NA
2,133,0.05,0.019,NA
2,134,0.05,0.009,NA
2,135,0.05,0.009,NA
2,136,0.055,0.068,NA
2,137,0.05,0.013,NA
2,138,0.05,0.01,NA
2,139,0.051,0.031,NA
2,140,0.05,0.007,NA
2,141,0.05,0.011,NA
2,142,0.053,0.057,NA
2,143,0.05,0.01,NA
2,144,0.05,0.011,NA
2,145,0.051,0.022,NA
2,146,0.05,0.013,NA
2,147,0.051,0.024,NA
2,148,0.051,0.025,NA
2,149,0.053,0.057,NA
2,150,0.056,0.076,NA
2,151,0.05,0.013,NA
2,152,0.051,0.023,NA
2,153,0.05,0.015,NA
2,154,0.05,0.012,NA
2,155,0.051,0.025,NA
2,156,0.051,0.029,NA
2,157,0.05,0.011,NA
2,158,0.054,0.06,NA
2,159,0.05,0.009,NA
2,160,0.057,0.084,NA
2,161,0.051,0.023,NA
2,162,0.05,0.009,NA
2,163,0.051,0.023,NA
2,164,0.051,0.031,NA
2,165,0.05,0.021,NA
2,166,0.05,0.008,NA
2,167,0.05,0.014,NA
2,168,0.05,0.011,NA
2,169,0.05,0.012,NA
2,170,0.051,0.026,NA
2,171,0.05,0.009,NA
2,172,0.051,0.027,NA
2,173,0.062,0.107,NA
2,174,0.051,0.027,NA
2,175,0.052,0.047,NA
2,176,0.05,0.012,NA
2,177,0.05,0.021,NA
2,178,0.05,0.007,NA
2,179,0.051,0.023,NA
2,180,0.055,0.066,NA
2,181,0.05,0.01,NA
2,182,0.05,0.007,NA
2,183,0.05,0.007,NA
2,184,0.05,0.009,NA
2,185,0.05,0.007,NA
2,186,0.051,0.03,NA
2,187,0.051,0.03,NA
2,188,0.051,0.028,NA
2,189,0.256,0.412,NA
2,190,0.295,0.416,NA
2,191,0.061,0.103,NA
2,192,0.052,0.046,NA
2,193,0.245,0.384,NA
2,194,0.167,0.325,NA
2,195,0.699,0.442,NA
2,196,0.082,0.171,NA
2,197,0.051,0.033,NA
2,198,0.08,0.165,NA
2,199,0.056,0.078,NA
2,200,0.084,0.177,NA
2,201,0.071,0.138,NA
2,202,0.211,0.357,NA
2,203,0.166,0.311,NA
2,204,0.052,0.041,NA
2,205,0.06,0.098,NA
2,206,0.062,0.105,NA
2,207,0.551,0.474,NA
2,208,0.885,0.311,NA
2,209,0.701,0.515,NA
2,210,0.083,0.173,NA
2,211,0.055,0.071,NA
2,212,0.051,0.032,NA
2,213,0.051,0.026,NA
2,214,0.087,0.184,NA
2,215,0.959,0.194,NA
2,216,0.254,0.39,NA
2,217,0.051,0.026,NA
2,218,0.05,0.018,NA
2,219,0.051,0.026,NA
2,220,0.112,0.235,NA
2,221,0.051,0.032,NA
2,222,0.05,0.008,NA
2,223,0.05,0.01,NA
2,224,0.05,0.012,NA
2,225,0.05,0.008,NA
2,226,0.051,0.029,NA
2,227,0.051,0.022,NA
2,228,0.05,0.009,NA
2,229,0.052,0.044,NA
2,230,0.05,0.01,NA
2,231,1.098,0.608,NA
2,232,0.051,0.023,NA
2,233,0.05,0.014,NA
2,234,0.05,0.008,NA
2,235,0.081,0.17,NA
2,236,0.051,0.022,NA
2,237,0.05,0.008,NA
2,238,0.05,0.014,NA
2,239,0.191,0.338,NA
2,240,0.056,0.073,NA
2,241,0.05,0.008,NA
2,242,5.903,0.813,1.000
2,243,0.051,0.028,NA
2,244,0.05,0.008,NA
2,245,4.824,1.933,0.813
2,246,0.05,0.01,NA
2,247,0.05,0.018,NA
2,248,0.05,0.009,NA
2,249,0.051,0.026,NA
2,250,0.057,0.082,NA
2,251,0.05,0.013,NA
2,252,0.05,0.013,NA
2,253,0.051,0.028,NA
2,254,0.05,0.018,NA
2,255,0.05,0.013,NA
2,256,0.05,0.012,NA
2,257,0.05,0.007,NA
2,258,0.05,0.013,NA
2,259,0.05,0.013,NA
2,260,0.053,0.056,NA
2,261,0.05,0.009,NA
2,262,5.902,0.814,1.000
2,263,0.051,0.026,NA
2,264,0.051,0.028,NA
2,265,0.05,0.014,NA
2,266,0.05,0.009,NA
2,267,0.05,0.007,NA
2,268,0.051,0.027,NA
2,269,0.056,0.079,NA
2,270,0.059,0.093,NA
2,271,0.05,0.021,NA
2,272,0.05,0.018,NA
2,273,0.052,0.038,NA
2,274,0.051,0.022,NA
2,275,0.051,0.025,NA
2,276,0.051,0.027,NA
2,277,0.05,0.01,NA
2,278,0.05,0.018,NA
2,279,0.05,0.009,NA
2,280,0.051,0.028,NA
2,281,0.107,0.225,NA
2,282,0.05,0.007,NA
2,283,0.05,0.014,NA
2,284,0.093,0.197,NA
2,285,0.053,0.056,NA
2,286,0.05,0.007,NA
2,287,0.051,0.022,NA
2,288,0.05,0.008,NA
2,289,1.653,1.51,NA
2,290,0.05,0.018,NA
2,291,0.05,0.019,NA
2,292,0.051,0.024,NA
2,293,0.05,0.012,NA
2,294,0.055,0.072,NA
2,295,0.05,0.011,NA
2,296,0.05,0.01,NA
2,297,0.05,0.012,NA
2,298,0.053,0.057,NA
2,299,0.051,0.029,NA
2,300,0.05,0.01,NA
2,301,0.051,0.027,NA
2,302,0.05,0.008,NA
2,303,0.05,0.013,NA
2,304,0.05,0.007,NA
2,305,0.05,0.018,NA
2,306,1,0.029,NA
2,307,0.051,0.022,NA
2,308,0.05,0.008,NA
2,309,0.05,0.012,NA
2,310,0.052,0.044,NA
2,311,0.05,0.014,NA
2,312,0.05,0.013,NA
2,313,0.05,0.011,NA
2,314,0.05,0.01,NA
