Taxon,Subsp_var,Label
Dryopteris oreades,NA,NA
Dryopteris ardechensis,NA,NA
Dryopteris tyrrhena,NA,E494
Dryopteris filix-mas,NA,NA
Dryopteris filix-mas,NA,NA
Dryopteris affinis,subsp. affinis,NA
Dryopteris caucasica,NA,NA
Dryopteris pseudofilix-mas,NA,NA
Dryopteris cambrensis,NA,E425
Dryopteris lepidopoda,NA,NA
Dryopteris coreanomontana,NA,NA
Dryopteris affinis,subsp. borreri,NA
Dryopteris subbipinnata,NA,NA
Dryopteris wallichiana,NA,NA
Dryopteris conjugata,NA,NA
Dryopteris himachalensis,NA,NA
Dryopteris sinofibrillosa,NA,NA
Dryopteris pulcherrima,NA,NA
Dryopteris silaensis,NA,NA
Dryopteris crassirhizoma,NA,NA
Dryopteris dickinsii,NA,NA
Dryopteris polylepis,NA,NA
Dryopteris anthracinisquama,NA,NA
Dryopteris atrata,NA,NA
Dryopteris commixta,NA,NA
Dryopteris uniformis,NA,NA
Dryopteris pycnopteroides,NA,NA
Dryopteris hangchowensis,NA,NA
Dryopteris gamblei,NA,NA
Dryopteris lankwangensis,NA,NA
Dryopteris lunanensis,NA,NA
Dryopteris stenolepis,NA,NA
Dryopteris cycadina,NA,NA
Dryopteris namegatae,NA,NA
Dryopteris rosthornii,NA,NA
Dryopteris handeliana,NA,NA
Dryopteris tsutsuiana,NA,NA
Dryopteris subpycnopteroides,NA,NA
Dryopteris scottii,NA,NA
Dryopteris fatuhivensis,NA,NA
Dryopteris fuscoatra,var. fuscoatra,NA
Dryopteris fuscoatra,var. lamoureuxii,NA
Dryopteris alpestris,NA,NA
Dryopteris komarovii,NA,NA
Dryopteris villarii,NA,E414
Dryopteris athamantica,NA,E492
Dryopteris dracomontana,NA,E635
Dryopteris inaequalis,NA,E401
Dryopteris comorensis,NA,E628
Dryopteris pentheri,NA,NA
Dryopteris schimperiana,NA,E527
Dryopteris glandulosopaleata,NA,E457
Dryopteris pentheri,NA,E636
Dryopteris subcrenulata,NA,E638
Dryopteris katangaensis,NA,E626
Dryopteris lewalleana,NA,E500
Dryopteris lewalleana,NA,E637
Dryopteris pentheri,NA,E400
Dryopteris lewalleana,NA,E501
Dryopteris napoleonis,NA,E509
Dryopteris schimperiana,NA,E405
Dryopteris inaequalis,NA,NA
Dryopteris inaequalis,NA,E632
Dryopteris manniana,NA,E510
Dryopteris oligodonta,NA,E640
Dryopteris schnellii,NA,E455
Dryopteris bernieri,NA,NA
Dryopteris bojeri,NA,E568
Dryopteris bernieri,NA,E633
Dryopteris fadenii,NA,E459
Dryopteris squamiseta,NA,E504
Dryopteris tricellularis,NA,E456
Dryopteris cochleata,NA,NA
Dryopteris marginata,NA,NA
Dryopteris schimperiana,NA,E639
Dryopteris chrysocoma,NA,NA
Dryopteris redactopinnata,NA,NA
Dryopteris barberigera,NA,NA
Dryopteris basisora,NA,NA
Dryopteris lachoongensis,NA,NA
Dryopteris bodinieri,NA,NA
Dryopteris sieboldii,NA,NA
Dryopteris rubrobrunnea,NA,NA
Dryopteris costalisora,NA,NA
Dryopteris panda,NA,NA
Dryopteris goeringiana,NA,NA
Dryopteris gymnophylla,NA,NA
Dryopteris stewartii,NA,NA
Dryopteris reflexosquamata,NA,NA
Dryopteris juxtaposita,NA,NA
Dryopteris lacera,NA,NA
Dryopteris neolacera,NA,NA
Dryopteris arguta,NA,NA
Dryopteris marginalis,NA,NA
Dryopteris shiroumensis,NA,NA
Dryopteris triangularis,NA,NA
Dryopteris aitoniana,NA,E466
Dryopteris crinalis,NA,NA
Dryopteris sandwicensis,NA,NA
Dryopteris tetrapinnata,NA,NA
Dryopteris unidentata,var. paleacea,NA
Dryopteris unidentata,var. unidentata,NA
Dryopteris mauiensis,NA,NA
Dryopteris antarctica,NA,E624
Dryopteris amurensis,NA,NA
Dryopteris expansa,NA,NA
Dryopteris carthusiana,NA,NA
Dryopteris remota,NA,NA
Dryopteris munchii,NA,NA
Dryopteris clintoniana,NA,NA
Dryopteris cristata,NA,NA
Dryopteris antarctica,NA,NA
Dryopteris campyloptera,NA,NA
Dryopteris crispifolia,NA,NA
Dryopteris dilatata,NA,NA
Dryopteris intermedia,NA,NA
Dryopteris intermedia,subsp. azorica,E460
Dryopteris intermedia,subsp. maderensis,NA
Dryopteris aquilinoides,NA,E634
Dryopteris remotipinnulata,NA,E505
Dryopteris kilemensis,NA,E489
Dryopteris celsa,NA,NA
Dryopteris ludoviciana,NA,NA
Dryopteris tokyoensis,NA,NA
Dryopteris goldiana,NA,NA
Dryopteris goldiana,NA,NA
Dryopteris odontoloma,NA,NA
Dryopteris oligodonta,NA,NA
Dryopteris pallida,NA,NA
Dryopteris pallida,NA,E523
Dryopteris cognata,NA,E546
Dryopteris occidentalis,NA,E458
Dryopteris subexaltata,NA,NA
Dryopteris melanocarpa,NA,NA
Dryopteris sparsa,NA,NA
Dryopteris sublacera,NA,NA
Dryopteris maximowiczii,NA,NA
Dryopteris hondoensis,NA,NA
Dryopteris yakusilvicola,NA,NA
Dryopteris sabae,NA,NA
Dryopteris aemula,NA,NA
Dryopteris glabra,var. alboviridis,NA
Dryopteris glabra,var. pusilla,NA
Dryopteris glabra,var. soripes,NA
Dryopteris hawaiiensis,NA,NA
Dryopteris glabra,var. nuda,NA
Dryopteris glabra,var. flynii,NA
Dryopteris glabra,var. glabra,NA
Dryopteris glabra,var. hobdyana,NA
Dryopteris guanchica,NA,NA
