Taxon,rbcL,rps4-trnS,trnG-trnR,trnL-F,trnP-petG,ID,ShortName,ShortTreeName
Dryopteris aitoniana Pic. Serm.,KY073633,—,KY073681,KY073696,KY073718,E466,aitoniana,aitonia466
Dryopteris antarctica (Baker) C. Chr.,KY073634,—,—,—,KY073719,E624,antarctica,antarct624
Dryopteris aquilinoides (Desv.) C. Chr.,KY073635,—,—,—,KY073720,E634,aquilinoid,aquilin634
Dryopteris athamantica (Kunze) Kuntze,—,—,—,KY073697,KY073721,E407,athamantic,athaman407
Dryopteris athamantica (Kunze) Kuntze,KY073636,—,—,KY073698,KY073722,E492,athamantic,athaman492
Dryopteris azorica (Christ) Alston,KY073637,KY073662,—,KY073699,—,E460,azorica,azorica460
Dryopteris bernieri Tardieu,KY073638,—,—,—,KY073723,E633,bernieri,bernier633
Dryopteris bojeri (Baker) Kuntze,KY073639,KY073663,KY073682,—,KY073724,E568,bojeri,bojeri568
Dryopteris cambrensis Beitel & W.R. Buck,—,—,—,KY073700,—,E425,cambrensis,cambren425
Dryopteris cognata Kuntze,KY073640,—,—,—,KY073725,E546,cognata,cognata546
Dryopteris comorensis (Tardieu) Fraser-Jenk.,—,KY073664,—,—,—,E628,comorensis,comoren628
Dryopteris dracomontana Schelpe,KY073641,KY073665,KY073683,—,KY073726,E635,dracomonta,dracomo635
Dryopteris fadenii Pic. Serm.,KY073642,KY073666,KY073684,KY073701,KY073727,E459,fadenii,fadenii459
Dryopteris glandulosopaleata J.P.Roux,KY073643,KY073667,—,KY073702,KY073728,E457,glanduloso,glandul457
Dryopteris inaequalis (Schltdl.) Kuntze,—,—,KY073685,KY073703,KY073729,E401,inaequalis,inaequa401
Dryopteris inaequalis (Schltdl.) Kuntze,KY073644,—,—,—,KY073730,E632,inaequalis,inaequa632
Dryopteris katangaensis J.P.Roux,KY073645,KY073668,KY073686,KY073704,KY073731,E626,katangaens,katanga626
Dryopteris kilemensis (Kuhn) Kuntze,KY073646,KY073669,KY073687,KY073705,KY073732,E489,kilemensis,kilemen489
Dryopteris kilemensis (Kuhn) Kuntze,KY073647,—,—,KY073706,—,E505,kilemensis,kilemen505
Dryopteris lewalleana Pic. Serm.,—,—,—,KY073707,—,E500,lewalleana,lewalle500
Dryopteris lewalleana Pic. Serm.,KY073648,KY073670,—,—,KY073733,E501,lewalleana,lewalle501
Dryopteris lewalleana Pic. Serm.,KY073649,KY073671,KY073688,—,KY073734,E637,lewalleana,lewalle637
Dryopteris manniana (Hook.) C. Chr.,KY073650,KY073672,KY073689,KY073708,KY073735,E510,manniana,mannian510
Dryopteris napoleonis Kuntze,—,KY073673,KY073690,—,KY073736,E509,napoleonis,napoleo509
Dryopteris occidentalis J.P. Roux,KY073651,KY073674,KY073691,KY073709,KY073737,E458,occidental,occiden458
