species,accession
L. aegaeum Erben & Bruno,MW289894
L. albomarginatum Bruno,MH582667
L. algarvense Erben,MH582715
L. ammophilon (Papatsou & Phitos) Domina,MH582784
L. amopicum Erben & Bruno,MH582763
L. anatolicum Hedge,MH582745
L. anthericoides (Schltr.) RA.Dyer,
L. aphroditae R.Artelari & Georgiou,MH582669
L. aragonense (Debeaux ex Willk.) Pignatti,MH582725
"L. arboreum (Willd.) Erben, A.Santos & Reyes-",MW289898
L. archaeothirae Erben & Bruno,MH582764
L. articulatum (Loisel.) Kuntze,MH582670
L. asparagoides (Batt.)Maire,
L. aucheri (Girard) Greuter & Burdet,MH582787
L. aureum (L.) Hill ex Kuntze,JN187124
L. auriculae-ursifolium (Pourr.) Druce,MH582699
L. australe (R. Br.) Kuntze,
L. avei (De Not.) Brullo & Erben,
L. axillare (Forssk.) Kuntze,MW289893
L. beaumierianum (Coss. exMaire)Maire,MH582808
L. bellidifolium (Gouan) Dumort.,MH582789
L. benmageci Marrero Rodr.,MH582801
L. biflorum (Pignatti) Pignatti,KJ608050
L. binervosum (G.E.Sm.) C.E.Salmon,MW289879
L. bocconei (Lojac.) Litard.,MH582671
L. bollei (Webb ex Wangerin) Erben,MH582716
L. bonduellei (T.Lestib.) Kuntze,MH582809
L. bonifaciense Arrigoni & Diana,MH582698
L. bourgeaui (Webb ex Webb) Kuntze,MH582812
L. brasiliense (Boiss.) Kuntze,MH582736
L. brassicifolium (Webb & Berthel.) Kuntze,MH582802
L. braunii (Bolle) A.Chev.,MH582752
L. brevipetiolatum R.Artelari & Erben,MH582731
L. brunneri (Webb. ex Boiss.) Kuntze,MH582748
L. caesium (Girard) Kuntze,MH582765
L. californicum (Boiss.) A.Heller,MH582739
L. calliopsium Alf.Mayer,MH582766
L. camposanum M. Erben,KJ608041
L. cancellatum (Bertot.) Kuntze,MH582672
L. capense (L.Bolus) L.Bolus,MH582727
L. carnosum (Boiss.) Kuntze,
L. carolinianum (Walter) Britton,KJ773631
L. carpathum (Rech.f.) Rech.f.,MH582767
L. carpetanicum Erben,MH582713
L. carthaginense (Rouy) C.E.Hubb. & Sandwith,MW289876
L. cephalonicum R.Artelari,MH582673
L. chersonesum Erben & Brullo,MW289895
L. circaei Pignatti,MH582674
L. compactum Erben & Brullo,MH582732
L. confusum (Godr. & Gren.) Fourr.,MH582675
L. connivens Erben,
L. contortirameum (Mabille) Erben,MH582676
L. cordatum (L.) Mill.,MH582693
L. cornarianum Kypr. & R.Artelari,MH582694
L. coronense R.Artelari,MH582677
