branch_name,branch_id,node
albomargin,0,albomargin
algarvense,1,algarvense
ammophilon,2,ammophilon
amopicum,3,amopicum
anatolicum,4,anatolicum
aphroditae,5,aphroditae
aragonense,6,aragonense
arboreum,7,arboreum
archaeothi,8,archaeothi
articulatu,9,articulatu
aucheri,10,aucheri
aureum,11,aureum
axillare,12,axillare
beaumieria,13,beaumieria
bellidifol,14,bellidifol
benmageci,15,benmageci
biflorum,16,biflorum
binervosum,17,binervosum
bocconei,18,bocconei
bollei,20,bollei
bonduellei,21,bonduellei
bonifacien,22,bonifacien
bourgeaui,23,bourgeaui
brasiliens,24,brasiliens
brassicifo,25,brassicifo
braunii,26,braunii
brevipetio,27,brevipetio
brunneri,28,brunneri
caesium,30,caesium
californic,31,californic
calliopsiu,33,calliopsiu
camposanum,34,camposanum
cancellatu,36,cancellatu
capense,37,capense
carolinian,38,carolinian
carpetanic,39,carpetanic
carthagine,40,carthagine
cephalonic,41,cephalonic
circaei,42,circaei
compactum,43,compactum
confusum,44,confusum
contortira,45,contortira
corculum,46,corculum
cordatum,47,cordatum
cornarianu,49,cornarianu
coronense,50,coronense
corsicum,51,corsicum
cossonianu,55,cossonianu
cosyrense,56,cosyrense
craterifor,57,craterifor
creticum,58,creticum
cymuliferu,59,cymuliferu
cythereum,60,cythereum
daveaui,61,daveaui
delicatulu,62,delicatulu
dendroides,63,dendroides
densissimu,64,densissimu
diasii,65,diasii
dichotomum,66,dichotomum
dichroanth,67,dichroanth
divaricatu,68,divaricatu
dodartii,69,dodartii
dufourii,70,dufourii
ebusitanum,72,ebusitanum
echioides,73,echioides
effusum,74,effusum
erectum,76,erectum
estevei,77,estevei
failachicu,78,failachicu
fallax,79,fallax
flexuosum,80,flexuosum
frederici,81,frederici
frutescens,82,frutescens
furfuraceu,84,furfuraceu
girardianu,85,girardianu
globulifer,86,globulifer
gmelini,87,gmelini
gougetianu,88,gougetianu
grabusae,89,grabusae
greuteri,91,greuteri
guaicuru,94,guaicuru
gymnesicum,95,gymnesicum
hibericum,96,hibericum
hierapetra,97,hierapetra
hoeltzeri,98,hoeltzeri
humile,99,humile
hungaricum,100,hungaricum
hyblaeum,101,hyblaeum
iconicum,103,iconicum
imbricatum,104,imbricatum
insigne,105,insigne
iranicum,107,iranicum
jovibarba,108,jovibarba
kardamylii,109,kardamylii
kaschgaric,110,kaschgaric
lanceolatu,112,lanceolatu
latebracte,113,latebracte
latifolium,114,latifolium
lilacinum,116,lilacinum
limbatum,118,limbatum
lobatum,122,lobatum
lobinii,123,lobinii
longebract,124,longebract
lowei,126,lowei
macrophyll,127,macrophyll
macropteru,128,macropteru
meandrinum,130,meandrinum
meyeri,131,meyeri
milleri,132,milleri
minoicum,134,minoicum
minutiflor,135,minutiflor
minutum,137,minutum
mouretii,139,mouretii
mucronatum,140,mucronatum
multifloru,142,multifloru
multiforme,145,multiforme
narbonense,147,narbonense
nydeggeri,151,nydeggeri
obtusifoli,153,obtusifoli
ocymifoliu,158,ocymifoliu
oligotrich,162,oligotrich
otolepis,163,otolepis
ovalifoliu,164,ovalifoliu
palmyrense,169,palmyrense
papillatum,171,papillatum
paulayanum,173,paulayanum
peregrinum,174,peregrinum
perezii,176,perezii
perfoliatu,177,perfoliatu
pigadiense,179,pigadiense
platyphyll,183,platyphyll
plurisquam,184,plurisquam
preauxii,185,preauxii
proliferum,186,proliferum
pruinosum,187,pruinosum
pseudebusi,188,pseudebusi
puberulum,192,puberulum
purpuratum,194,purpuratum
pycnanthum,196,pycnanthum
pylium,198,pylium
recticaule,203,recticaule
redivivum,205,redivivum
relicticum,206,relicticum
remotispic,209,remotispic
rhumile,212,rhumile
rigualii,213,rigualii
roridum,214,roridum
santapolen,218,santapolen
saracinatu,222,saracinatu
sarcophyll,224,sarcophyll
scabrum,227,scabrum
scopulorum,232,scopulorum
sieberi,233,sieberi
sinense,236,sinense
sinuatum,237,sinuatum
sokotranum,242,sokotranum
solandri,243,solandri
somalorum,248,somalorum
sougiae,251,sougiae
sp1,253,sp1
sp2,257,sp2
spectabile,259,spectabile
spreitzenh,264,spreitzenh
stenotatum,268,stenotatum
subglabrum,272,subglabrum
suffrutico,277,suffrutico
sundingii,281,sundingii
supinum,286,supinum
sventenii,287,sventenii
tabernense,290,tabernense
tenellum,292,tenellum
tetragonum,294,tetragonum
thiniense,297,thiniense
toletanum,301,toletanum
tomentellu,303,tomentellu
tournefort,307,tournefort
tuberculat,310,tuberculat
tunetanum,313,tunetanum
ursifolium,315,ursifolium
vigaroense,319,vigaroense
virgatum,325,virgatum
vulgare,338,vulgare
wrightii,347,wrightii
xiliense,355,xiliense
Root,366,Root
Node100|360,360,317
Node101|359,359,318
Node102|358,358,319
Node103|357,357,320
Node104|271,271,321
Node105|270,270,322
Node106|269,269,323
Node107|217,217,324
Node108|216,216,325
Node109|215,215,326
Node10|336,336,251
Node110|90,90,327
Node111|204,204,328
Node112|252,252,329
Node113|267,267,330
Node114|266,266,331
Node115|265,265,332
Node116|356,356,333
Node117|168,168,334
Node118|167,167,335
Node119|166,166,336
Node11|337,337,250
Node120|165,165,337
Node121|152,152,338
Node122|291,291,339
Node123|314,314,340
Node124|300,300,341
Node125|299,299,342
Node126|298,298,343
Node127|161,161,314
Node128|160,160,315
Node129|159,159,316
Node12|361,361,249
Node130|258,258,313
Node131|221,221,301
Node132|220,220,302
Node133|191,191,303
Node134|190,190,304
Node135|182,182,307
Node136|181,181,308
Node137|180,180,309
Node138|136,136,310
Node139|189,189,305
Node13|362,362,248
Node140|138,138,306
Node141|219,219,311
Node142|48,48,312
Node143|276,276,291
Node144|275,275,292
Node145|274,274,293
Node146|273,273,294
Node147|35,35,295
Node148|235,235,296
Node149|144,144,299
Node14|363,363,247
Node150|143,143,300
Node151|234,234,297
Node152|102,102,298
Node153|330,330,280
Node154|318,318,285
Node155|317,317,286
Node156|316,316,287
Node157|309,309,288
Node158|308,308,289
Node159|302,302,290
Node15|364,364,187
Node160|329,329,281
Node161|328,328,282
Node162|327,327,283
Node163|326,326,284
Node164|71,71,279
Node165|229,229,274
Node166|228,228,275
Node167|211,211,276
Node168|210,210,277
Node169|223,223,278
Node16|354,354,188
Node170|157,157,260
Node171|156,156,261
Node172|93,93,268
Node173|92,92,269
Node174|155,155,262
Node175|154,154,263
Node176|19,19,264
Node177|54,54,265
Node178|53,53,266
Node179|52,52,267
Node17|346,346,216
Node180|146,146,270
Node181|200,200,272
Node182|199,199,273
Node18|345,345,217
Node19|344,344,218
Node1|201,201,271
Node20|343,343,221
Node21|306,306,234
Node22|305,305,235
Node23|304,304,237
Node24|115,115,236
Node25|342,342,222
Node26|341,341,223
Node27|340,340,228
Node28|121,121,230
Node29|120,120,231
Node2|202,202,259
Node30|32,32,233
Node31|119,119,232
Node32|339,339,229
Node33|150,150,224
Node34|75,75,227
Node35|149,149,225
Node36|148,148,226
Node37|197,197,219
Node38|117,117,220
Node39|280,280,238
Node3|230,230,258
Node40|279,279,239
Node41|170,170,241
Node42|278,278,240
Node43|250,250,242
Node44|226,226,244
Node45|133,133,246
Node46|225,225,245
Node47|249,249,243
Node48|353,353,189
Node49|285,285,201
Node4|231,231,257
Node50|256,256,202
Node51|178,178,205
Node52|255,255,203
Node53|254,254,204
Node54|284,284,206
Node55|247,247,207
Node56|246,246,208
Node57|245,245,211
Node58|244,244,212
Node59|172,172,209
Node5|331,331,256
Node60|29,29,210
Node61|141,141,213
Node62|283,283,214
Node63|282,282,215
Node64|352,352,190
Node65|351,351,193
Node66|350,350,194
Node67|349,349,195
Node68|348,348,196
Node69|296,296,197
Node6|332,332,255
Node70|295,295,198
Node71|293,293,199
Node72|111,111,200
Node73|195,195,191
Node74|175,175,192
Node75|365,365,186
Node76|324,324,348
Node77|323,323,349
Node78|322,322,350
Node79|321,321,357
Node7|333,333,254
Node80|320,320,358
Node81|289,289,359
Node82|288,288,360
Node83|208,208,361
Node84|207,207,362
Node85|129,129,363
Node86|263,263,351
Node87|262,262,352
Node88|261,261,354
Node89|260,260,355
Node8|334,334,253
Node90|83,83,353
Node91|193,193,356
Node92|241,241,364
Node93|240,240,365
Node94|239,239,366
Node95|238,238,367
Node96|312,312,345
Node97|311,311,347
Node98|106,106,346
Node99|125,125,344
Node9|335,335,252
