Species,ShortName,MeanTempAnnual_n,MeanTempAnnual_mean,MeanTempAnnual_se,MeanTempAnnual_median,MeanTempAnnual_q10,MeanTempAnnual_q90,MaxTempWarmestMonth_n,MaxTempWarmestMonth_mean,MaxTempWarmestMonth_se,MaxTempWarmestMonth_median,MaxTempWarmestMonth_q10,MaxTempWarmestMonth_q90,GrowingSeasonTemp_n,GrowingSeasonTemp_mean,GrowingSeasonTemp_se,GrowingSeasonTemp_median,GrowingSeasonTemp_q10,GrowingSeasonTemp_q90,PrecAnnual_n,PrecAnnual_mean,PrecAnnual_se,PrecAnnual_median,PrecAnnual_q10,PrecAnnual_q90
Limonium aegaeum Erben & Bruno,aegaeum,34,17.37927756590002,0.014410450452608125,17.30221939086914,17.114017486572266,17.785606384277344,34,29.687042853411505,0.044094446942276364,28.855749130249023,28.157777786254883,31.48785972595215,34,11.616357046015123,0.033063946118197136,11.114916801452637,10.627923393249512,12.981481552124023,34,488.79411764705884,3.279592845785643,437,403,639
Limonium algarvense Erben,algarvense,252,17.64891411009289,0.0014088248570783436,17.725711822509766,17.17346954345703,18.05612564086914,252,30.38586219151815,0.00631239075063008,31.359580993652344,28.149999618530273,31.740524291992188,252,13.026938480044167,0.0015474883683967548,12.87220573425293,12.686411221822103,13.511224428812662,252,548.0595238095239,0.3578206384982918,507,476,660
Limonium ammophilon (Papatsou & Phitos) Domina,ammophilon,7,12.706693376813616,0.6729053821893124,8.930021286010742,8.930021286010742,17.74225616455078,7,26.106564930507115,0.522818968442292,23.172250747680664,23.172250747680664,30.018983840942383,7,14.119360787527903,0.4019188418769842,16.37512469291687,11.111675580342611,16.37512469291687,7,651.2857142857143,14.126665643942431,572,572,757
Limonium amopicum Erben & Bruno,amopicum,12,18.344367027282715,0.07011641280954958,18.28972816467285,17.542505264282227,19.25550651550293,12,28.879963397979736,0.056580418124752334,28.68607234954834,28.290565490722656,29.85714340209961,12,12.3358158270518,0.07965177184141913,12.32792107264201,11.420754750569662,13.266666412353516,12,655,3.1388330199729846,656.5,616,691
Limonium anthericoides (Schltr.) RA.Dyer,anthericoi,238,16.70083027527112,0.0013913082343964722,16.661001205444336,16.454364776611328,17.207475662231445,238,25.66649397681741,0.0025889538317645762,25.428098678588867,25.29774284362793,26.563072204589844,238,13.551435250194134,0.0028623558115452026,13.471074422200521,12.981999715169271,14.790937662124634,238,511.42016806722694,0.25758984132974183,512,452,541.1000000000004
Limonium aphroditae R.Artelari & Georgiou,aphroditae,12,16.71181869506836,0.026856862158687305,16.88996696472168,16.1773738861084,16.88996696472168,12,28.802305698394775,0.04609935345829752,28.496517181396484,28.496517181396484,29.71967124938965,12,11.452367703119913,0.10835962912543662,12.171144167582193,9.296038309733072,12.171144167582193,12,557.75,0.414578098794425,555,555,566
Limonium aragonense (Debeaux ex Willk.) Pignatti,aragonense,70,12.042165728977748,0.02385890406435907,11.447187423706055,10.182656288146973,14.980135917663574,70,30.42745339529855,0.017327061087152217,30.436250686645508,28.804774856567384,32.42900085449219,70,14.498585769108363,0.0298686813579267,14.267499923706055,11.754666646321615,17.888166745503742,70,448.2857142857143,0.8753218628277117,428,385,531.9000000000001
"Limonium arboreum (Willd.) Erben, A.Santos & Reyes-",arboreum,102,16.72817075953764,0.016931384727067966,16.948957443237305,15.627674102783203,18.30608367919922,102,25.389639405643237,0.015656006767808765,24.88510799407959,24.542762756347656,27.170162200927734,102,14.343490450989966,0.018405876552338107,14.444145997365316,12.475820859273275,16.482499599456787,102,358.3235294117647,0.8626073840476498,362,303,394
Limonium articulatum (Loisel.) Kuntze,articulatu,1138,14.817183546525522,6.461122894014731e-4,14.699614524841309,14.310956954956055,15.5472993850708,1138,27.1558171592404,7.980364990924379e-4,26.984302520751953,26.479999542236328,28.336362838745117,1138,12.834728877448029,6.480080128342278e-4,12.80310090382894,12.178558667500814,13.58148161570231,1138,671.9586994727589,0.08202564656585482,657,559,776
Limonium asparagoides (Batt.)Maire,asparagoid,51,17.39728764926686,0.018405368682092717,17.998775482177734,15.919926643371582,18.18724250793457,51,31.012525782865637,0.010186021719018994,30.93822479248047,30.832311630249023,31.19499969482422,51,12.81432050817153,0.02746736735169241,13.074749946594238,10.978000005086264,14.221879005432129,51,360.94117647058823,2.5494461536469735,313,303,393
