Species,ElectricalCond_n,ElectricalCond_mean,ElectricalCond_se,ElectricalCond_median,ElectricalCond_q10,ElectricalCond_q90
aegaeum,8,1,0,1,1,1
algarvense,87,2.689655172413793,0.04961887282480071,1,0,5
anthericoi,79,0.8987341772151899,0.003843140213316312,1,0.8000000000000007,1
aragonense,26,2.6538461538461537,0.09290977215774064,2,1,7
arboreum,28,0.5714285714285714,0.06764347551480047,1,0.7000000000000002,1
articulatu,195,1.0717948717948718,0.0013272432437356847,1,1,1
asparagoid,18,1.8333333333333333,0.19641855032959654,1,1,1
aucheri,4,1,0,1,1,1
aureum,210,2.038095238095238,0.016501296030360765,1,0,4
australe,280,0.8321428571428572,0.004757634002134287,1,0,1
avei,7,5.428571428571429,1.6758735012600032,1,0.6000000000000001,14.00000000000001
axillare,154,3.844155844155844,0.027259282927302998,2,1,11
beaumieria,13764,0.80325486777099675,1.3420206284606105e-4,1,0,2
bellidifol,1506,3.6586985391766267,0.0036395357166338167,2,1,16
benmageci,3,2,0,2,2,2
biflorum,45,1.2666666666666666,0.009938079899999066,1,1,2
binervosum,884,0.9592760180995475,0.0022387902349826154,1,0,2
bocconei,16,1,0,1,1,1
bollei,28,1.0357142857142858,0.006749365589450486,1,1,1
bonduellei,13801,0.8057387145858995,1.3376369186873837e-4,1,0,2
bonifacien,30,1,0,1,1,1
bourgeaui,42,1,0,1,1,1
brasiliens,102,0.4411764705882353,0.005616446687814718,0,0,1
brassicifo,35,0.8857142857142857,0.009222938602590732,1,0.40000000000000036,1
braunii,5,1,0,1,1,1
brevipetio,17,1.5294117647058822,0.03026445620161921,2,1,2
caesium,248,1.8951612903225807,0.006002087568954903,2,1,2
californic,961,0.7325702393340271,0.0010685363411115241,1,0,3
cancellatu,102,1,0,1,1,1
capense,36,0.4444444444444444,0.013998684185526935,0,0,1
carolinian,2120,0.2410377358490566,2.2725112592435293e-4,0,0,1
carpathum,7,1,0,1,1,1
carpetanic,16,2.375,0.11608859763129194,1,1,5
carthagine,24,1,0,1,1,1
cephalonic,3,1,0,1,1,1
chersonesu,4,1,0,1,1,1
compactum,5,1.2,0.08944271909999159,1,1,1.5999999999999996
confusum,6,5.833333333333333,1.3183182328113963,1.5,0,16
connivens,7,1.1428571428571428,0.05399492471560389,1,1,1.4000000000000004
contortira,269,1.275092936802974,0.001663172703197233,1,1,2
corculum,699,1.0815450643776825,4.1364019137375723e-4,1,1,1
cordatum,63,0.7142857142857143,0.028283893584060256,1,1,1
corsicum,47,1.0425531914893618,0.004341057635927207,1,1,1
cossonianu,365,1.6,0.0043261710555988556,1,1,2
costae,99,2.1414141414141414,0.02050941666869405,1,1,5
cosyrense,4,1,0,1,1,1
craterifor,4,1,0,1,1,1
cumanum,4,1,0,1,1,1
cylindrifo,12,2.5,0.14433756729740643,2,2,2
cymuliferu,31,1.935483870967742,0.08072489987823807,1,1,2
cythereum,3,1,0,1,1,1
