verbatim_name,RecordCount
Limonium aegaeum Erben & Bruno,11
Limonium algarvense Erben,120
Limonium ammophilon (Papatsou & Phitos) Domina,2
Limonium amopicum Erben & Bruno,5
Limonium anatolicum Hedge,1
Limonium anthericoides (Schltr.) RA.Dyer,81
Limonium aphroditae R.Artelari & Georgiou,4
Limonium aragonense (Debeaux ex Willk.) Pignatti,26
"Limonium arboreum (Willd.) Erben, A.Santos & Reyes-",42
Limonium archaeothirae Erben & Bruno,1
Limonium articulatum (Loisel.) Kuntze,397
Limonium asparagoides (Batt.)Maire,18
Limonium aucheri (Girard) Greuter & Burdet,10
Limonium aureum (L.) Hill ex Kuntze,210
Limonium auriculae-ursifolium (Pourr.) Druce,2879
Limonium australe (R. Br.) Kuntze,496
Limonium avei (De Not.) Brullo & Erben,14
Limonium axillare (Forssk.) Kuntze,91
Limonium beaumierianum (Coss. exMaire)Maire,4321
Limonium bellidifolium (Gouan) Dumort.,2115
Limonium benmageci Marrero Rodr.,4
Limonium biflorum (Pignatti) Pignatti,81
Limonium binervosum (G.E.Sm.) C.E.Salmon,1372
Limonium bocconei (Lojac.) Litard.,21
Limonium bollei (Webb ex Wangerin) Erben,31
Limonium bonduellei (T.Lestib.) Kuntze,4357
Limonium bonifaciense Arrigoni & Diana,36
Limonium bourgeaui (Webb ex Webb) Kuntze,29
Limonium brasiliense (Boiss.) Kuntze,131
Limonium brassicifolium (Webb & Berthel.) Kuntze,42
Limonium braunii (Bolle) A.Chev.,10
Limonium brevipetiolatum R.Artelari & Erben,31
Limonium brunneri (Webb. ex Boiss.) Kuntze,7
Limonium caesium (Girard) Kuntze,270
Limonium californicum (Boiss.) A.Heller,1066
Limonium calliopsium Alf.Mayer,1
Limonium camposanum M. Erben,10
Limonium cancellatum (Bertot.) Kuntze,220
Limonium capense (L.Bolus) L.Bolus,42
Limonium carnosum (Boiss.) Kuntze,1
Limonium carolinianum (Walter) Britton,3282
Limonium carpathum (Rech.f.) Rech.f.,13
Limonium carpetanicum Erben,16
Limonium carthaginense (Rouy) C.E.Hubb. & Sandwith,30
Limonium cephalonicum R.Artelari,4
Limonium cf. pycnanthum (K. Koch) Kuntze,312
Limonium chersonesum Erben & Brullo,4
Limonium circaei Pignatti,1
Limonium compactum Erben & Brullo,14
Limonium confusum (Godr. & Gren.) Fourr.,8
Limonium connivens Erben,11
Limonium contortirameum (Mabille) Erben,500
Limonium cordatum (L.) Mill.,193
Limonium cornarianum Kypr. & R.Artelari,3
Limonium coronense R.Artelari,1
Limonium corsicum Erben,72
Limonium cossonianum Kuntze,482
Limonium costae (Willk.) Pignatti,99
Limonium cosyrense (Guss.) Kuntze,8
Limonium crateriforme Erben & Brullo,4
Limonium creticum R. Artelari,2
Limonium cumanum (Ten.) Kuntze,10
Limonium cylindrifolium (Forssk.) Verde. ex Cufod.,12
Limonium cymuliferum (Boiss.) Sauvage & Vindt,45
Limonium cythereum R.Artelari & Georgiou,4
Limonium daveaui Erben,11
Limonium delicatulum (Girard) Kuntze,477
Limonium dendroides Svent.,10
Limonium densissimum (Pignatti) Pignatti,80
Limonium dichotomum (Cav.) Kuntze,147
Limonium dichroanthum (Rupr.) Ikonn.-Gal.,7
Limonium dodartii (Girard) Kuntze,295
Limonium dufourii (Girard) Kuntze,69
Limonium ebusitanum (Font Quer) Font Quer,100
Limonium echioides (L.) Mill.,3272
Limonium effusum (Boiss.) Kuntze,1
Limonium elaphonisicum Alf.Mayer,14
Limonium erectum Erben,14
Limonium estevei Fern.Casas,65
Limonium failachicum Erben &Mucina,1
Limonium fallax (Coss. ex Wangerin)Maire,19
Limonium ferganense Ikonn.-Gal.,11
Limonium flexuosum (L.) Kuntze,164
Limonium frederici (Barbey) Rech.f.,19
"Limonium frutescens (Lem.) Erben, A.Santos & Reyes- Bet.",30
Limonium furfuraceum (Lag.) Kuntze,206
Limonium gibertii (Sennen) Sennen,66
Limonium girardianum (Guss.) Fourr.,3763
Limonium globuliferum (Boiss. & Heldr.) Kuntze,1
Limonium gmelini (Willd.) Kuntze,312
Limonium gougetianum (Girard) Kuntze,8
Limonium grabusae Erben & Brullo,1
Limonium graecum (Poir.) Rech.f.,255
Limonium greuteri Erben,3
Limonium guaicuru (Molina) Kuntze,12
Limonium gueneri Dogan & ff.Duman & Akaydm,1
Limonium gymnesicum Erben,48
Limonium haitense Blake,7
Limonium hibericum Erben,276
Limonium hierapetrae Rech.f.,7
Limonium hoeltzeri (Regel) Ikonn.-Gal.,15
Limonium humile Mill.,2883
Limonium hungaricum Klokov,1
Limonium hyblaeum Brullo,185
Limonium iconicum (Boiss. & Heldr.) Kuntze,4
Limonium imbricatum (Webb ex Girard) Hubbard ex,40
Limonium insigne (Coss.) Kuntze,491
Limonium iranicum (Borom.) Lincz.,2
Limonium jovi-barba (Webb) Kuntze,1
Limonium kardamylii R.Artelari & Kamari,1
Limonium kaschgaricum (Rupr.) Ikonn.-Gal.,16
Limonium kraussianum (Buchinger ex Boiss.) Kuntze,100
Limonium lanceolatum (Hoffmanns. & Link) Franco,592
Limonium latebracteatum Erben,71
Limonium latifolium (Sm.) Kuntze,339
Limonium laxiusculum Franco,7
Limonium lilacinum (Boiss. & Bal.) Wagenitz,1
Limonium limbatum Small,128
Limonium lobatum (L.f.) Chaz.,1701
Limonium lobinii N.Kilian & Leyens,7
Limonium longebracteatum Erben,28
"Limonium lowei R.Jardim,M.Seq., Capelo, J.C.Costa & RivasMart.",23
Limonium macrophyllum Kuntze,20
Limonium macropterum (Webb & Berthe).) Kuntze,17
Limonium majus (Boiss.) Erben,59
Limonium meandrinum Erben & Brullo,2
Limonium meyeri (Boiss.) Kuntze,486
Limonium milleri Ghaz. & J.R.Edm.,1
Limonium minoicum Erben & Brullo,2
Limonium minutiflorum (Guss.) Kuntze,16
Limonium minutum (L.) Chaz.,478
Limonium mouretii (Pitard)Maire,7
Limonium mucronatum (L.f.) Chaz.,30
Limonium mucronulatum (H.Lindb.) Greuter & Burdet,1
Limonium multiflorum Erben,61
Limonium multiforme (Martelli) Pignatti,63
Limonium narbonense Mill.,3308
Limonium nudum (Boiss. & Buhse) Kuntze,1
Limonium nydeggeri Erben,41
Limonium obtusifolium (Rouy) Erben,102
Limonium ocymifolium (Poir.) Kuntze,72
Limonium oligotrichum Erben & Brullo,4
Limonium otolepis (Schrenk) Kuntze,53
Limonium ovalifolium (Poir.) Kuntze,592
Limonium palmyrense (Post) Dinsm.,2
Limonium papillatum (Webb & Berthel.) Kuntze,53
Limonium paulayanum (Vierh.) Ghaz. & J.R.Edm.,18
Limonium pectinatum var. corculum (Webb & Berthel.) G.Kunkel & Sunding,560
Limonium pectinatum var. divaricatum (Pit.) G.Kunkel & Sunding,560
Limonium pectinatum var. solandri (Webb. & Berthel.),560
Limonium peregrinum (P.J.Bergius) RA.Dyer,258
Limonium perezii (Stapf) Hubbard ex L.H.Bailey,2383
Limonium perfoliatum (Kar. ex Boiss.) Kuntze,6
Limonium pigadiense (Rech.f.) Rech.f.,3
Limonium piptopodum Nevski,1
Limonium platyphyllum Lincz.,339
Limonium plurisquamatum Erben,30
Limonium preauxii (Webb & Berthel.) Kuntze,37
Limonium proliferum (d'Urv.) Erben & Bruno,21
Limonium pruinosum (L.) Chaz.,293
Limonium pseudebusitanum Erben,79
Limonium puberulum (Webb) Kuntze,52
Limonium purpuratum Hubbard ex L.H.Bailey,47
Limonium pylium R.Artelari,3
Limonium recticaule Erben & Bruno,5
Limonium recurvum C.E.Salmon subsp. humile (Girard) Ingr.,11
Limonium redivivum (Svent.) G.Kunkel & Sunding,5
Limonium relicticum R.Mesa & A.Santos,1
Limonium remotispiculum (Lacaita) Pignatti,24
Limonium reniforme (Girard) Lincz.,6
Limonium rigualii M.B.Crespo & Erben,59
Limonium roridum (Sibth. & Sm.) Brullo & Guarino,24
Limonium santapolense Erben,75
Limonium saracinatum R.Artelari,6
Limonium sarcophyllum Ghaz. & J.R.Edm.,5
Limonium scabrum (Thunb.) Kuntze,654
Limonium scopulorum M.B.Crespo & Lledo,35
Limonium sieberi (Boiss.) Kuntze,56
Limonium sinense (Girard) Kuntze,359
Limonium sinuatum (L.) Mill.,4321
Limonium sitiacum Rech.f.,18
Limonium sogdianum Ikonn.-Gal.,1
Limonium sokotranum (Vierh.) Radcl.-Sm.,19
Limonium somalorum (Vierh.) Hutch. & E.A.Bruce,91
Limonium sougiae Erben & Bruno,1
Limonium spectabile (Svent.) G.Kunkel & Sunding,7
Limonium spreitzenhoferi Erben & Bruno,6
Limonium stenotatum (Rech.f.) Erben & Bruno,3
Limonium stocksii (Boiss.) Kuntze,19
Limonium subglabrum Erben,17
Limonium suffruticosum (L.) Kuntze,269
"Limonium sundingii Leyens, Lobin, N.Kilian & Erben",1
Limonium supinum (Girard) Pignatti,328
Limonium sventenii A. Santos &M.L.Fernandez,23
Limonium tabernense Erben,54
Limonium tamaricoides Bokhari,1
Limonium tenellum (Turcz.) Kuntze,18
Limonium tetragonum (Thunb.) Bullock,243
Limonium thiniense Erben,100
Limonium toletanum Erben,42
Limonium tomentellum (Boiss.) Kuntze,361
Limonium tournefortii (Boiss.) Erben,74
Limonium tuberculatum (Boiss.) Kuntze,104
Limonium tubiflorum (Del.) Kuntze,1
Limonium tunetanum (Barratte)Maire,1
Limonium vanandense Erben & Brullo,1
Limonium vigaroense Marrero Rodr. & RS.Almeida,6
Limonium virgatum (Willd.) Fourr.,5194
Limonium vulgare (eduardi-diasii Fdez. Prieto & C. Aguiar sp. nova. ined.),11616
Limonium vulgare Mill.,11616
Limonium wrightii (Hance) Kuntze,166
Limonium xerocamposicum Erben & Brullo,1
Limonium xiliense Erben & Brullo,1
