usageKey,scientificName,canonicalName,rank,status,confidence,matchType,kingdom,phylum,order,family,genus,species,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,synonym,class,verbatim_name,acceptedUsageKey
8530741,Limonium aegaeum Erben & Brullo,Limonium aegaeum,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Caryophyllales,Plumbaginaceae,Limonium,Limonium aegaeum,6,7707728,220,422,2419,3082293,8530741,FALSE,Magnoliopsida,Limonium aegaeum Erben & Bruno,NA
4088484,Limonium algarvense Erben,Limonium algarvense,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Caryophyllales,Plumbaginaceae,Limonium,Limonium algarvense,6,7707728,220,422,2419,3082293,4088484,FALSE,Magnoliopsida,Limonium algarvense Erben,NA
8045035,Limonium ammophilon (Papatsou & Phitos) Domina,Limonium ammophilon,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Caryophyllales,Plumbaginaceae,Limonium,Limonium ammophilon,6,7707728,220,422,2419,3082293,8045035,FALSE,Magnoliopsida,Limonium ammophilon (Papatsou & Phitos) Domina,NA
8514526,Limonium amopicum Erben & Brullo,Limonium amopicum,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Caryophyllales,Plumbaginaceae,Limonium,Limonium amopicum,6,7707728,220,422,2419,3082293,8514526,FALSE,Magnoliopsida,Limonium amopicum Erben & Bruno,NA
4090839,Limonium anatolicum Hedge,Limonium anatolicum,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Caryophyllales,Plumbaginaceae,Limonium,Limonium anatolicum,6,7707728,220,422,2419,3082293,4090839,FALSE,Magnoliopsida,Limonium anatolicum Hedge,NA
4090747,Limonium anthericoides (Schltr.) R.A.Dyer,Limonium anthericoides,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Caryophyllales,Plumbaginaceae,Limonium,Limonium anthericoides,6,7707728,220,422,2419,3082293,4090747,FALSE,Magnoliopsida,Limonium anthericoides (Schltr.) RA.Dyer,NA
4090698,Limonium aphroditae R.Artelari & Georgiou,Limonium aphroditae,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Caryophyllales,Plumbaginaceae,Limonium,Limonium aphroditae,6,7707728,220,422,2419,3082293,4090698,FALSE,Magnoliopsida,Limonium aphroditae R.Artelari & Georgiou,NA
7298222,Limonium aragonense (Debeaux ex Willk.) Pignatti,Limonium aragonense,SPECIES,SYNONYM,100,EXACT,Plantae,Tracheophyta,Caryophyllales,Plumbaginaceae,Limonium,Limonium aragonense,6,7707728,220,422,2419,3082293,7816427,TRUE,Magnoliopsida,Limonium aragonense (Debeaux ex Willk.) Pignatti,7816427
7875825,"Limonium arboreum (Willd.) Erben, A.Santos & Reyes-Bet.",Limonium arboreum,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Caryophyllales,Plumbaginaceae,Limonium,Limonium arboreum,6,7707728,220,422,2419,3082293,7875825,FALSE,Magnoliopsida,"Limonium arboreum (Willd.) Erben, A.Santos & Reyes-",NA
7298219,Limonium articulatum (Loisel.) Kuntze,Limonium articulatum,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Caryophyllales,Plumbaginaceae,Limonium,Limonium articulatum,6,7707728,220,422,2419,3082293,7298219,FALSE,Magnoliopsida,Limonium articulatum (Loisel.) Kuntze,NA
4090549,Limonium asparagoides (Batt.) Maire,Limonium asparagoides,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Caryophyllales,Plumbaginaceae,Limonium,Limonium asparagoides,6,7707728,220,422,2419,3082293,4090549,FALSE,Magnoliopsida,Limonium asparagoides (Batt.)Maire,NA
4090522,Limonium aucheri (Girard) Greuter & Burdet,Limonium aucheri,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Caryophyllales,Plumbaginaceae,Limonium,Limonium aucheri,6,7707728,220,422,2419,3082293,4090522,FALSE,Magnoliopsida,Limonium aucheri (Girard) Greuter & Burdet,NA
7298206,Limonium aureum (L.) Hill ex Kuntze,Limonium aureum,SPECIES,SYNONYM,100,EXACT,Plantae,Tracheophyta,Caryophyllales,Plumbaginaceae,Limonium,Limonium aureum,6,7707728,220,422,2419,3082293,7632211,TRUE,Magnoliopsida,Limonium aureum (L.) Hill ex Kuntze,7632211
7298201,Limonium auriculae-ursifolium (Pourr.) Druce,Limonium auriculae-ursifolium,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Caryophyllales,Plumbaginaceae,Limonium,Limonium auriculae-ursifolium,6,7707728,220,422,2419,3082293,7298201,FALSE,Magnoliopsida,Limonium auriculae-ursifolium (Pourr.) Druce,NA
4090383,Limonium australe (R.Br.) Kuntze,Limonium australe,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Caryophyllales,Plumbaginaceae,Limonium,Limonium australe,6,7707728,220,422,2419,3082293,4090383,FALSE,Magnoliopsida,Limonium australe (R. Br.) Kuntze,NA
4090370,Limonium avei (De Not.) Brullo & Erben,Limonium avei,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Caryophyllales,Plumbaginaceae,Limonium,Limonium avei,6,7707728,220,422,2419,3082293,4090370,FALSE,Magnoliopsida,Limonium avei (De Not.) Brullo & Erben,NA
