accession,gb_species,species,,,
MH582778,Limonium xiliense,L. xiliense Erben & Brullo,,,
MH582777,Limonium xerocamposicum,L. xerocamposicum Erben & Brullo,,,
MH582799,Limonium wrightii,L. wrightii (Hance) Kuntze,,,
MH582735,Limonium vulgare,L. vulgare (eduardi-diasii Fdez. Prieto & C. Aguiar sp. nova. ined.),,,
MW289887,Limonium vulgare,L. vulgare Mill.,,,
KJ608053,Limonium virgatum,L. virgatum (Willd.) Fourr.,,,
MH582813,Limonium vigaroense,L. vigaroense Marrero Rodr. & RS.Almeida,,,
MH582776,Limonium vanandense,L. vanandense Erben & Brullo,,,
MH582712,Limonium tunetanum,L. tunetanum (Barratte)Maire,,,
MW289896,Limonium tuberculatum,L. tuberculatum (Boiss.) Kuntze,,,
MH582706,Limonium tournefortii,L. tournefortii (Boiss.) Erben,,,
MH582744,Limonium tomentellum,L. tomentellum (Boiss.) Kuntze,,,
MH582726,Limonium toletanum,L. toletanum Erben,,,
GQ248629,Limonium thiniense,L. thiniense Erben,,,
MH582797,Limonium tetragonum,L. tetragonum (Thunb.) Bullock,,,
MW289904,Limonium tenellum,L. tenellum (Turcz.) Kuntze,,,
MH582714,Limonium tabernense,L. tabernense Erben,,,
MW289900,Limonium sventenii,L. sventenii A. Santos &M.L.Fernandez,,,
MH582697,Limonium supinum,L. supinum (Girard) Pignatti,,,
MW289891,Limonium sundingii,L. sundigii Leyens, Lobin, N.Kilian & Erben,
MH582728,Limonium suffruticosum,L. sujfruticosum (L.) Kuntze,,,
MH582711,Limonium subglabrum,L. subglabrum Erben,,,
MH582786,Limonium stenotatum,L. stenotatum (Rech.f.) Erben & Bruno,,,
MH582775,Limonium spreitzenhoferi,L. spreitzenhoferi Erben & Bruno,,,
MW289899,Limonium spectabile,L. spectabile (Svent.) G.Kunkel & Sunding,,,
MH582687,Limonium sp. 2 KK-2019,L. sp.2,,,
MH582790,Limonium sp. 1 KK-2019,L. sp.1,,,
MH582782,Limonium sougiae,L. sougiae Erben & Bruno,,,
MH582761,Limonium somalorum,L. somalorum (Vierh.) Hutch. & E.A.Bruce,,,
MH582758,Limonium sokotranum,L. sokotranum (Vierh.) Radcl.-Sm.,,,
MH582783,Limonium sitiacum,L. sitiacum Rech.f.,,,
MW289902,Limonium sinuatum,L. sinuatum (L.) Mill.,,,
JQ946306,Limonium sinense,L. sinense (Girard) Kuntze,,,
MH582723,Limonium sieberi,L. sieberi (Boiss.) Kuntze,,,
MH582695,Limonium scopulorum,L. scopulorum M.B.Crespo & Lledo,,,
AM235050,Limonium scabrum,L. scabrum (Thunb.) Kuntze,,,
MH582760,Limonium sarcophyllum,L. sarcophyllum Ghaz. & J.R.Edm.,,,
MH582692,Limonium saracinatum,L. saracinatum R.Artelari,,,
MW289878,Limonium santapolense,L. santapolense Erben,,,
MH582774,Limonium roridum,L. roridum (Sibth. & Sm.) Brullo & Guarino,,,
GQ248628,Limonium rigualii,L. rigualii M.B.Crespo & Erben,,,
MH582691,Limonium remotispiculum,L. remotispiculum (Lacaita) Pignatti,,,
MH582806,Limonium relicticum,L. relicticum R.Mesa & A.Santos,,,
MH582807,Limonium redivivum,L. redivivum (Svent.) G.Kunkel & Sunding,,,
MH582703,Limonium recurvum subsp. humile,L. recurvum C.E.Salmon subsp. humile (Girard) Ingr.,,,
MH582773,Limonium recticaule,L. recticaule Erben & Bruno,,,
MH582690,Limonium pylium,L. pylium R.Artelari,,,
MH582747,Limonium cf. pycnanthum KK-2019,L. cf. pycnanthum (K. Koch) Kuntze,,,
MW289884,Limonium purpuratum,L. purpuratum Hubbard ex L.H.Bailey,,,
MH582811,Limonium puberulum,L. puberulum (Webb) Kuntze,,,
KJ608033,Limonium pseudebusitanum,L. pseudebusitanum Erben,,,
MH582772,Limonium pruinosum,L. pruinosum (L.) Chaz.,,,
MH582771,Limonium proliferum,L. proliferum (d'Urv.) Erben & Bruno,,,
MH582805,Limonium preauxii,L. preauxii (Webb & Berthel.) Kuntze,,,
MH582702,Limonium plurisquamatum,L. plurisquamatum Erben,,,
MH582743,Limonium platyphyllum,L. platyphyllum Lincz.,,,
MH582689,Limonium pigadiense,L. pigadiense (Rech.f.) Rech.f.,,,
MH582793,Limonium perfoliatum,L. perfoliatum (Kar. ex Boiss.) Kuntze,,,
MH582804,Limonium perezii,L. perezii (Stapf) Hubbard ex L.H.Bailey,,,
JQ412383,Limonium peregrinum,L. peregrinum (P.J.Bergius) RA.Dyer ,,,
MH582751,Limonium pectinatum var. solandri,L. pectinatum var. solandri (Webb. & Berthel.),,,
MH582749,Limonium pectinatum var. divaricatum,L. pectinatum var. divaricatum (Pit.) G.Kunkel & Sunding,,,
MW289889,Limonium pectinatum var. corculum,L. pectinatum var. corculum (Webb & Berthel.) G.Kunkel & Sunding,,,
MH582757,Limonium paulayanum,L. paulayanum (Vierh.) Ghaz. & J.R.Edm.,,,
MH582750,Limonium papillatum,L. papillatum (Webb & Berthel.) Kuntze,,,
MH582729,Limonium palmyrense,L. palmyrense (Post) Dinsm.,,,
MH582719,Limonium ovalifolium,L. ovalifolium (Poir.) Kuntze,,,
MH582792,Limonium otolepis,L. otolepis (Schrenk) Kuntze,,,
MH582770,Limonium oligotrichum,L. oligotrichum Erben & Brullo,,,
MH582780,Limonium ocymifolium,L. ocymifolium (Poir.) Kuntze,,,
MH582688,Limonium obtusifolium,L. obtusifolium (Rouy) Erben,,,
MH582718,Limonium nydeggeri,L. nydeggeri Erben,,,
MW289886,Limonium narbonense,L. narbonense Mill.,,,
MH582722,Limonium multiforme,L. multiforme (Martelli) Pignatti,,,
MH582707,Limonium multiflorum,L. multijlorum Erben,,,
MH582754,Limonium mucronatum,L. mucronatum (L.f.) Chaz.,,,
MH582814,Limonium mouretii,L. mouretii (Pitard)Maire,,,
KJ608027,Limonium minutum,L. minutum (L.) Chaz.,,,
MH582696,Limonium minutiflorum,L. minutijlorum (Guss.) Kuntze,,,
MH582686,Limonium minoicum,L. minoicum Erben & Brullo,,,
MH582759,Limonium milleri,L. milleri Ghaz. & J.R.Edm.,,,
MH582742,Limonium meyeri,L. meyeri (Boiss.) Kuntze,,,
MH582685,Limonium meandrinum,L. meandrinum Erben & Brullo,,,
MH582803,Limonium macropterum,L. macropterum (Webb & Berthe).) Kuntze,,,
MW289897,Limonium macrophyllum,L. macrophyllum Kuntze,,,
MH582717,Limonium lowei,L. lowei R.Jardim,M.Seq., Capelo, J.C.Costa & RivasMart.
MH582721,Limonium longibracteatum,L. longebracteatum Erben,,,
MW289892,Limonium lobinii,L. lobinii N.Kilian & Leyens,,,
MW289903,Limonium lobatum,L. lobatum (L.f.) Chaz.,,,
MH582738,Limonium limbatum,L. limbatum Small,,,
MH582746,Limonium lilacinum,L. lilacinum (Boiss. & Bal.) Wagenitz,,,
MH582741,Limonium latifolium,L. latifolium (Sm.) Kuntze,,,
MH582710,Limonium latebracteatum,L. latebracteatum Erben,,,
MH582709,Limonium lanceolatum,L. lanceolatum (Hoffmanns. & Link) Franco,,,
MH582795,Limonium kaschgaricum,L. kaschgaricum (Rupr.) Ikonn.-Gal.,,,
MH582684,Limonium kardamylii,L. kardamylii R.Artelari & Kamari,,,
MW289890,Limonium jovi-barba,L.jovi-barba (Webb) Kuntze,,,
MH582730,Limonium iranicum,L. iranicum (Borom.) Lincz.,,,
MH582781,Limonium insigne,L. insigne (Coss.) Kuntze,,,
MH582810,Limonium imbricatum,L. imbricatum (Webb ex Girard) Hubbard ex,,,
MH582791,Limonium iconium,L. iconicum (Boiss. & Heldr.) Kuntze,,,
MH582683,Limonium hyblaeum,L. hyblaeum Brullo,,,
MH582734,Limonium hungaricum,L. hungaricum Klokov,,,
JN893200,Limonium humile,L. humile Mill.,,,
MH582794,Limonium hoeltzeri,L. hoeltzeri (Regel) Ikonn.-Gal.,,,
MH582668,Limonium hierapetrae,L. hierapetrae Rech.f.,,,
MH582708,Limonium hibericum,L. hibericum Erben,,,
KJ608045,Limonium gymnesicum,L. gymnesicum Erben,,,
MH582737,Limonium guaicuru,L. guaicuru (Molina) Kuntze,,,
MH582682,Limonium greuteri,L. greuteri Erben,,,
MH582779,Limonium grabusae,L. grabusae Erben & Brullo,,,
MH582681,Limonium gougetianum,L. gougetianum (Girard) Kuntze,,,
MH582740,Limonium gmelinii,L. gmelini (Willd.) Kuntze,,,
MW289888,Limonium globuliferum,L. globuliferum (Boiss. & Heldr.) Kuntze,,,
MH582720,Limonium girardianum,L. girardianum (Guss.) Fourr.,,,
MW289883,Limonium furfuraceum,L. furfuraceum (Lag.) Kuntze,,,
MW289901,Limonium frutescens,L. frutescens (Lem.) Erben, A.Santos & Reyes- Bet.,,
MH582785,Limonium frederici,L. frederici (Barbey) Rech.f.,,,
MH582798,Limonium flexuosum,L. flexuosum (L.) Kuntze,,,
MH582753,Limonium fallax,L. fallax (Coss. ex Wangerin)Maire,,,
MW289885,Limonium failachicum,L. failachicum Erben &Mucina,,,
MW289881,Limonium estevei,L. estevei Fern.Casas,,,
MH582705,Limonium erectum,L. erectum Erben,,,
MH582769,Limonium elaphonisicum,L. elaphonisicum Alf.Mayer,,,
MH582733,Limonium effusum,L. ejfusum (Boiss.) Kuntze,,,
KJ608051,Limonium echioides,L. echioides (L.) Mill.,,,
