NSSitesModel,nParam,lnL,ChiSq,df,PValue,AIC,Parameter,Value
7,368,-3142.819381,NA,NA,NA,6922.11579,K,1.92017
7,368,-3142.819381,NA,NA,NA,6922.11579,p,0.005
7,368,-3142.819381,NA,NA,NA,6922.11579,q,0.04784
7,368,-3142.819381,NA,NA,NA,6922.11579,p_0,0.1
7,368,-3142.819381,NA,NA,NA,6922.11579,p_1,0.1
7,368,-3142.819381,NA,NA,NA,6922.11579,p_2,0.1
7,368,-3142.819381,NA,NA,NA,6922.11579,p_3,0.1
7,368,-3142.819381,NA,NA,NA,6922.11579,p_4,0.1
7,368,-3142.819381,NA,NA,NA,6922.11579,p_5,0.1
7,368,-3142.819381,NA,NA,NA,6922.11579,p_6,0.1
7,368,-3142.819381,NA,NA,NA,6922.11579,p_7,0.1
7,368,-3142.819381,NA,NA,NA,6922.11579,p_8,0.1
7,368,-3142.819381,NA,NA,NA,6922.11579,p_9,0.1
7,368,-3142.819381,NA,NA,NA,6922.11579,w_0,0
7,368,-3142.819381,NA,NA,NA,6922.11579,w_1,0
7,368,-3142.819381,NA,NA,NA,6922.11579,w_2,0
7,368,-3142.819381,NA,NA,NA,6922.11579,w_3,0
7,368,-3142.819381,NA,NA,NA,6922.11579,w_4,0
7,368,-3142.819381,NA,NA,NA,6922.11579,w_5,0
7,368,-3142.819381,NA,NA,NA,6922.11579,w_6,0
7,368,-3142.819381,NA,NA,NA,6922.11579,w_7,0
7,368,-3142.819381,NA,NA,NA,6922.11579,w_8,0
7,368,-3142.819381,NA,NA,NA,6922.11579,w_9,1
2,370,-3093.057895,40.949531000000206,2,1.2821012543685215e-9,6926.11579,K,2.09835
2,370,-3093.057895,40.949531000000206,2,1.2821012543685215e-9,6926.11579,p_0,0.93411
2,370,-3093.057895,40.949531000000206,2,1.2821012543685215e-9,6926.11579,p_1,0.05227
2,370,-3093.057895,40.949531000000206,2,1.2821012543685215e-9,6926.11579,p_2,0.01363
2,370,-3093.057895,40.949531000000206,2,1.2821012543685215e-9,6926.11579,w_0,2e-5
2,370,-3093.057895,40.949531000000206,2,1.2821012543685215e-9,6926.11579,w_1,1
2,370,-3093.057895,40.949531000000206,2,1.2821012543685215e-9,6926.11579,w_2,7.12634
3,371,-3110.786671,163.42207400000007,4,2.6971865553736615e-34,6963.573342,K,2.06721
3,371,-3110.786671,163.42207400000007,4,2.6971865553736615e-34,6963.573342,p_0,0.97713
3,371,-3110.786671,163.42207400000007,4,2.6971865553736615e-34,6963.573342,p_1,0.02174
3,371,-3110.786671,163.42207400000007,4,2.6971865553736615e-34,6963.573342,p_2,0.00113
3,371,-3110.786671,163.42207400000007,4,2.6971865553736615e-34,6963.573342,w_0,0.03202
3,371,-3110.786671,163.42207400000007,4,2.6971865553736615e-34,6963.573342,w_1,5.54575
3,371,-3110.786671,163.42207400000007,4,2.6971865553736615e-34,6963.573342,w_2,999
1,368,-3134.007426,140.20131899999978,1,2.4054157447999288e-32,7004.014852,K,1.9165
1,368,-3134.007426,140.20131899999978,1,2.4054157447999288e-32,7004.014852,p_0,0.93522
1,368,-3134.007426,140.20131899999978,1,2.4054157447999288e-32,7004.014852,p_1,0.06478
1,368,-3134.007426,140.20131899999978,1,2.4054157447999288e-32,7004.014852,w_0,0
