Species,Accession
Pinus gerardiana,NC_011154.4
Pinus muricata,JN854180.1
Pinus nigra,JQ512593.1
Pinus kesiya,JN854191.1
Pinus pinaster,FJ899583.2
Pinus palustris,JQ512581.1
Pinus remota,JN854164.1
Pinus montezumae,JN854183.1
Pinus jaliscana,NC_035948.1
Pinus densiflora,JQ512574.1
Pinus kwangtungensis,JN854153.1
Pinus strobiformis,JN854159.1
Pinus ayacahuite,AY497221.1
Pinus mugo,JN854181.1
Pinus aristata,NC_039809.1
Pinus densata,MT732337.1
Pinus virginiana,JN854155.1
Pinus morrisonicola,NC_039616.1
Pinus massoniana,MF564195.1
Pinus praetermissa,DQ353727.1
Pinus oocarpa,NC_035949.1
Pinus latteri,JN854190.1
Pinus teocote,NC_039586.1
Pinus wangii,NC_039613.1
Pinus ponderosa,NC_067715.1
Pinus tabuliformis,NC_028531.1
Pinus nelsonii,MH612859.1
Pinus cembroides,JN854220.1
Pinus lambertiana,MH612865.1
Pinus edulis,JN854203.1
Pinus culminicola,JN854213.1
Pinus hartwegii,JN854206.1
Pinus pringlei,JN854189.1
Pinus taeda,JQ512592.1
Pinus maximartinezii,JN854184.1
Pinus albicaulis,FJ899566.1
Pinus quadrifolia,JN854166.1
Pinus jeffreyi,JN854193.1
Pinus elliottii,NC_042788.1
Pinus tecunumanii,MH069629.1
Pinus yunnanensis,NC_043856.1
Pinus caribaea,NC_067769.1
Pinus glabra,JN854199.1
Pinus douglasiana,JN854205.1
Pinus contorta,MH612863.1
Pinus attenuata,DQ353724.1
Pinus echinata,NC_065458.1
Pinus cembra,MN536531.1
Pinus coulteri,JN854215.1
Pinus armandii,NC_029847.1
Pinus pinea,NC_039585.1
Pinus balfouriana,X63661.1
Pinus patula,JN854175.1
Pinus rigida,JQ512587.1
Pinus rzedowskii,AY115756.1
Pinus pungens,JN854167.1
Pinus discolor,JN854207.1
Pinus engelmannii,JN854201.1
Pinus parviflora,JQ512586.1
Pinus sylvestris,NC_035069.1
Pinus pumila,NC_041108.1
Pinus dalatensis,JN854211.1
Pinus radiata,JN854165.1
Pinus peuce,AY497218.1
Pinus chiapensis,JN854219.1
Pinus bhutanica,OP747469.1
Pinus hwangshanensis,JN854194.1
Pinus lawsonii,JN854188.1
Pinus serotina,JN854160.1
Pinus sabiniana,JN854161.1
Pinus banksiana,EF440595.1
Pinus luchuensis,AB097772.1
Pinus taiwanensis,NC_027415.1
Pinus leiophylla,JN854187.1
Pinus monophylla,MH612858.1
Pinus maximinoi,AB161040.1
Pinus brutia,JN854224.1
Pinus squamata,NC_039614.1
Pinus merkusii,AY497251.1
Pinus roxburghii,JN854162.1
Pinus devoniana,JN854208.1
Pinus longaeva,X58132.1
Pinus bungeana,JQ512571.1
Pinus sibirica,NC_028552.2
Pinus arizonica,JN854225.1
Pinus greggii,NC_035947.1
Pinus herrerae,AB063386.1
Pinus halepensis,JN854197.1
Pinus resinosa,FJ899556.1
Pinus dabeshanensis,KX255674.1
Pinus strobus,JQ512590.1
Pinus krempfii,MH612864.1
Pinus pinceana,NC_039587.1
Pinus monticola,AY497223.1
Pinus pseudostrobus,JN854169.1
Pinus lumholtzii,JN854186.1
Pinus koraiensis,JQ512578.1
Pinus clausa,AY497229.1
Pinus durangensis,DQ156487.1
Pinus wallichiana,JN854154.1
Pinus flexilis,FJ899576.2
Pinus heldreichii,JN854195.1
Pinus fenzeliana,OP747470.1
Pinus thunbergii,JQ512594.1
