branch_name	branch_id	S_sub	N_sub	branch_length	is_fg	is_mg
albicaulis	0	0.0000	0.5599	0.0000	yes	no
aristata	1	1.9477	0.9991	0.0000	yes	no
arizonica	2	1.0000	0.0000	0.0054	yes	no
armandii	3	0.0000	0.0000	0.0000	yes	no
attenuata	4	0.0000	0.0000	0.0000	yes	no
ayacahuite	5	0.0000	0.0000	0.0000	yes	no
balfourian	6	0.0518	0.9974	0.0000	yes	no
banksiana	7	1.0000	2.1035	0.0153	yes	no
bhutanica	8	0.0000	0.0000	0.0000	yes	no
brutia	9	0.0000	1.0000	0.0000	yes	no
bungeana	10	2.9990	6.9973	0.0087	yes	no
caribaea	11	0.0000	0.0000	0.0000	yes	no
cembra	12	0.0000	0.0000	0.0000	yes	no
cembroides	13	1.0000	1.9980	0.0000	yes	no
chiapensis	14	0.0000	6.9989	0.0000	yes	no
clausa	15	0.0000	0.0000	0.0000	yes	no
contorta	16	0.0007	0.9011	0.0000	yes	no
Node34	17	0.0020	0.1975	0.0000	yes	no
coulteri	18	0.0000	0.0000	0.0000	yes	no
culminicol	19	0.0000	1.0000	0.0000	yes	no
dabeshanen	20	0.0000	0.0000	0.0000	yes	no
Node92	21	0.0000	0.0000	0.0000	yes	no
dalatensis	22	0.0000	0.0000	0.0000	yes	no
densata	23	0.0000	0.0000	0.0000	yes	no
densiflora	24	0.2460	2.3802	0.0000	yes	no
devoniana	25	0.0000	0.0000	0.0000	yes	no
discolor	26	0.0000	0.0000	0.0000	yes	no
Node72	27	0.0000	1.0000	0.0000	yes	no
douglasian	28	0.0000	0.0000	0.0000	yes	no
durangensi	29	1.0000	1.0000	0.0087	yes	no
Node43	30	0.0000	0.0000	0.0000	yes	no
echinata	31	0.0000	0.0001	0.0000	yes	no
edulis	32	0.0001	1.0020	0.0000	yes	no
Node73	33	0.0001	0.0040	0.0000	yes	no
elliottii	34	0.0000	0.0000	0.0000	yes	no
engelmanni	35	0.0000	0.0000	0.0000	yes	no
Node42	36	0.0000	0.0000	0.0000	yes	no
fenzeliana	37	0.0000	0.0000	0.0000	yes	no
Node91	38	0.0000	0.0000	0.0000	yes	no
flexilis	39	0.0000	0.0000	0.0000	yes	no
gerardiana	40	3.9990	3.0018	0.0111	yes	no
glabra	41	1.0001	3.8040	0.0102	yes	no
greggii	42	0.0000	0.0000	0.0000	yes	no
halepensis	43	0.0000	0.0000	0.0000	yes	no
Node66	44	1.0000	0.0000	0.0000	yes	no
hartwegii	45	0.0000	1.0000	0.0000	yes	no
heldreichi	46	1.0000	0.0176	0.0033	yes	no
herrerae	47	0.0000	1.0000	0.0000	yes	no
hwangshane	48	0.0000	0.0000	0.0000	yes	no
jaliscana	49	0.0000	0.0000	0.0000	yes	no
jeffreyi	50	0.0000	0.0000	0.0000	yes	no
kesiya	51	0.0000	0.0014	0.0000	yes	no
koraiensis	52	2.0000	1.0000	0.0000	yes	no
krempfii	53	2.0000	5.9900	0.0047	yes	no
kwangtunge	54	0.0000	0.0001	0.0000	yes	no
Node90	55	0.0000	0.0000	0.0000	yes	no
lambertian	56	1.0000	0.0011	0.0000	yes	no
latteri	57	0.0000	0.0000	0.0000	yes	no
lawsonii	58	0.0000	0.0000	0.0000	yes	no
leiophylla	59	0.0000	1.0000	0.0000	yes	no
longaeva	60	4.9482	1.0026	0.0102	yes	no
Node79	61	0.0990	0.0053	0.0000	yes	no
Node78	62	0.0972	0.4741	0.0000	yes	no
luchuensis	63	0.0000	0.0000	0.0000	yes	no
lumholtzii	64	0.0000	0.0000	0.0000	yes	no
Node23	65	0.0000	0.0000	0.0000	yes	no
massoniana	66	4.2827	4.7814	0.0216	yes	no
maximartin	67	0.0000	0.0000	0.0000	yes	no
maximinoi	68	3.0000	0.0000	0.0087	yes	no
Node41	69	0.0000	0.0000	0.0000	yes	no
merkusii	70	0.0000	0.0000	0.0000	yes	no
Node61	71	1.0000	2.0015	0.0067	yes	no
monophylla	72	0.9871	0.0028	0.0000	yes	no
montezumae	73	0.0000	1.0000	0.0000	yes	no
Node39	74	0.0000	0.0000	0.0000	yes	no
monticola	75	3.0000	0.0011	0.0000	yes	no
morrisonic	76	0.0000	0.0000	0.0000	yes	no
mugo	77	2.0028	1.3614	0.0030	yes	no
muricata	78	0.0000	0.0000	0.0000	yes	no
nelsonii	79	3.0498	2.5275	0.0065	yes	no
Node77	80	2.7857	1.5165	0.0064	yes	no
nigra	81	0.2283	0.0251	0.0000	yes	no
oocarpa	82	0.0000	0.0000	0.0000	yes	no
palustris	83	1.0000	1.0000	0.0000	yes	no
Node16	84	0.0000	0.0000	0.0000	yes	no
parviflora	85	2.9992	1.5604	0.0000	yes	no
patula	86	0.0000	1.0000	0.0000	yes	no
peuce	87	1.0000	0.9926	0.0000	yes	no
pinaster	88	0.0000	0.0000	0.0000	yes	no
pinceana	89	0.0000	0.0000	0.0000	yes	no
Node76	90	1.0000	2.1734	0.0028	yes	no
pinea	91	0.0000	1.0000	0.0000	yes	no
ponderosa	92	0.0000	0.0000	0.0000	yes	no
praetermis	93	0.0000	1.0000	0.0000	yes	no
Node22	94	0.0000	0.0000	0.0000	yes	no
Node21	95	0.0000	0.0000	0.0000	yes	no
pringlei	96	0.0000	0.0000	0.0000	yes	no
Node25	97	0.0001	0.0000	0.0000	yes	no
Node24	98	0.0000	0.0000	0.0000	yes	no
Node20	99	0.0000	0.0000	0.0000	yes	no
pseudostro	100	0.0001	0.0004	0.0000	yes	no
Node40	101	0.0000	0.0000	0.0000	yes	no
Node38	102	0.0000	0.0000	0.0000	yes	no
Node37	103	0.0000	0.0000	0.0000	yes	no
Node36	104	0.0000	0.0000	0.0000	yes	no
Node35	105	0.0000	0.0000	0.0000	yes	no
pumila	106	2.0000	0.4401	0.0037	yes	no
Node94	107	0.0000	0.4927	0.0000	yes	no
pungens	108	0.0000	0.0000	0.0000	yes	no
