Species,ShortName,MeanTempAnnual_n,MeanTempAnnual_mean,MeanTempAnnual_se,MeanTempAnnual_median,MeanTempAnnual_q10,MeanTempAnnual_q90,MaxTempWarmestMonth_n,MaxTempWarmestMonth_mean,MaxTempWarmestMonth_se,MaxTempWarmestMonth_median,MaxTempWarmestMonth_q10,MaxTempWarmestMonth_q90,GrowingSeasonTemp_n,GrowingSeasonTemp_mean,GrowingSeasonTemp_se,GrowingSeasonTemp_median,GrowingSeasonTemp_q10,GrowingSeasonTemp_q90,coordinatePrecision_n,coordinatePrecision_mean,coordinatePrecision_se,coordinatePrecision_median,coordinatePrecision_q10,coordinatePrecision_q90,PrecAnnual_n,PrecAnnual_mean,PrecAnnual_se,PrecAnnual_median,PrecAnnual_q10,PrecAnnual_q90,Prec_n,Prec_mean,Prec_se,Prec_median,Prec_q10,Prec_q90
Pinus albicaulis,albicaulis,6619,2.761402812597988,3.539689922057715e-4,2.688854217529297,-0.2430645585060116,5.866083145141602,6619,21.27271362762289,4.419467916362994e-4,20.95599937438965,17.961000442504883,24.94184989929199,6619,8.213886807630885,2.5231910420846145e-4,7.954750061035156,6.292075014114381,10.315124988555908,6619,NA,NA,NA,NA,NA,6619,930.1571234325426,0.06685434022609767,756,515,1511,6619,63.497507176310535,0.004688229475399292,61,28,99
Pinus aristata,aristata,2396,2.7085583882204376,0.0012112005733003568,1.9691041707992554,-0.2283957600593567,6.538760662078857,2396,21.805587264651646,0.0014053564389732269,20.93899917602539,18.757749557495117,26.384750366210938,2396,11.459334092665596,9.581831869251756e-4,10.53891658782959,9.187583128611246,14.83258310953776,2396,0.01,0,0.01,0.01,0.01,2396,553.8059265442404,0.051363765109753504,548,411,719,2396,62.853505843071765,0.007666130486918853,62,44,85
Pinus arizonica,arizonica,2512,14.33247407910169,0.0011322042949002996,13.585624694824219,11.097208023071289,18.183156967163086,2512,27.927107889940793,0.001323587481405953,27.630249977111816,23.836999893188477,33.13199996948242,2512,18.477723737241355,0.0013553533954824349,17.79391606648763,14.87375005086263,23.509750366210938,2512,0.0018,0,0.0018,0.0018,0.0018,2512,684.7201433121022,0.10195833944627457,639,357,1102.4000000000005,2512,129.3407643312107,0.024786157225828383,116,56,217
Pinus armandii,armandii,333,11.17440141768785,0.013182312692643711,11.879770278930664,5.932450103759766,15.954595565795898,333,23.607242395211983,0.015069989559805869,23.506250381469727,17.2552001953125,29.98804931640625,333,18.03311448913437,0.014618227525398495,17.63700008392334,11.790000152587892,24.08809986114502,333,0.0018,0,0.0018,0.0018,0.0018,333,1212.5615615615618,2.0148814490464813,1031,623.6,2493.0000000000005,333,197.945945945946,0.32057439524490305,169,109,401
Pinus attenuata,attenuata,3420,13.157286501209642,7.30451455036778e-4,13.918156623840332,9.511229515075684,16.86876678466797,3420,28.301847762392278,8.454071938781331e-4,28.546499252319336,24.14175033569336,31.77750015258789,3420,9.08715094544037,5.981045964912928e-4,8.91141661008199,6.596125125885011,12.915485382080078,3420,NA,NA,NA,NA,NA,3420,946.674561403509,0.13808715975747637,831,295,1683,3420,149.0763157894737,0.022885022789776523,138,56,271
Pinus ayacahuite,ayacahuite,885,15.284656895351947,0.0037394195045416384,15.056375503540039,12.105405807495117,19.989822387695312,885,24.57554411376263,0.0037423544345807883,24.326499938964844,20.95224952697754,29.22224998474121,885,16.246543240951283,0.003760545101748758,15.90962553024292,13.053375244140625,20.697500228881836,885,0.0018,0,0.0018,0.0018,0.0018,885,1202.8655367231638,0.44863177316540925,1128,772,1686,885,226.28813559322032,0.08419005988350645,222,135,313
Pinus balfouriana,balfourian,1766,4.705060489627605,0.0017703798393924888,4.110135555267334,0.17811454832553864,8.33160400390625,1766,23.194958088487084,0.0019400169079784014,22.82900047302246,18.155250549316406,27.048375129699707,1766,9.62493517174726,4.322699589520617e-4,9.456166585286459,9.082791725794475,10.753000100453695,1766,NA,NA,NA,NA,NA,1766,852.9971687429219,0.1613510891290949,737,622.5,1307,1766,39.14609286523214,0.014978792637636167,29,19,76
Pinus banksiana,banksiana,19089,4.5449323947367235,1.45408372197311e-4,4.998937606811523,1.1417603492736816,7.477239608764648,19089,24.72923737395591,1.0964290219864014e-4,24.576000213623047,22.339515686035156,27.671499252319336,19089,15.218252267437354,1.5689960352822658e-4,15.336666107177734,10.792818705240885,18.77899996439616,19089,0.0018,0,0.0018,0.0018,0.0018,19089,861.9873749279711,0.01237344592602032,819,592,1204,19089,94.45020692545444,8.551147529391457e-4,95,77,111
Pinus bhutanica,bhutanica,102,11.230038825203389,0.0546571687729814,9.61327600479126,4.994906425476074,18.511905670166016,102,21.524227955762075,0.053037286518264115,20.32349967956543,15.977499961853027,27.239500045776367,102,16.55093385659012,0.04673317506629347,15.126874923706055,11.596333503723145,23.214916865030926,102,NA,NA,NA,NA,NA,102,1208.8235294117646,3.0382481071255847,1092,875,1759,102,220.49019607843138,0.778491964790613,189,134,318
Pinus brutia,brutia,3686,13.913905344252598,7.835381544118536e-4,12.979951858520508,9.856782913208008,18.233043670654297,3686,28.569736917447077,8.263234672111463e-4,27.725000381469727,25.190696716308594,32.60432052612305,3686,10.949338666912785,8.677999230340886e-4,10.627923393249512,7.176470756530762,16.19244158267975,3686,7.349999999999998e-4,2.400512834580447e-7,5.5e-5,1e-5,0.0018,3686,781.9370591427037,0.0785576476123194,745,511,1264,3686,104.19831795984793,0.01284210212751557,98,48,163
Pinus bungeana,bungeana,188,11.398912876210314,0.012714351673998871,11.664687156677246,7.760697841644287,14.638413429260254,188,28.522706802855147,0.013846055334409184,28.95599937438965,24.576749801635742,31.093000411987305,188,20.481059705957453,0.02376258453822621,21.354083379109703,14.56641705830892,25.205416361490887,188,0.0018,0,0.0018,0.0018,0.0018,188,810.5159574468084,1.819898279651404,642,497,1339,188,134.95212765957447,0.3060255946964441,120.5,74,207.50000000000006
Pinus caribaea,caribaea,2350,23.638634777069086,9.90603529223629e-4,24.226333618164062,21.348281860351562,26.006738662719727,2350,30.268008956097535,0.0010536235987565114,30.86050033569336,27.252750396728516,32.673248291015625,2350,24.634997076886762,0.0011500308552764163,25.415416717529297,21.25866635640462,27.186916987101238,2350,NA,NA,NA,NA,NA,2350,1944.5234042553202,0.24819605365215766,1911,1248,2659,2350,261.5553191489362,0.034393997505685614,254,173,361.0999999999999
Pinus cembra,cembra,16341,4.1203976905535455,1.6951631871087018e-4,4.161562442779541,0.758729100227356,7.217041969299316,16341,18.30837933429629,2.2646660717760814e-4,18.04974937438965,13.815750122070312,22.024499893188477,16341,10.314972410528343,1.9706874381728872e-4,9.364221413930258,7.3922499020894366,14.435499827067057,16341,0.01,0,0.01,0.01,0.01,16341,1200.1882381739208,0.019951805779685142,1261,700,1555,16341,118.29655467841609,0.0027609805064478044,109,74,176
Pinus cembroides,cembroides,12834,9.165958259079492,5.43961853147696e-4,6.924416542053223,0.8458645939826965,17.93065643310547,12834,25.077037838327474,3.8368055341108834e-4,24.94124984741211,18.59950065612793,32.40224838256836,12834,13.863392777767528,4.951581801080433e-4,11.495625019073486,6.880287432670594,23.323750178019207,12834,NA,NA,NA,NA,NA,12834,725.7726351877856,0.030746523218959165,604,390,1244,12834,76.79476390836817,0.002839996223241519,69,37,120
Pinus chiapensis,chiapensis,135502,8.06968522859154,1.9218976868670652e-5,7.704301834106445,5.145354270935059,11.62934398651123,135502,26.613850367334525,1.5933603169560432e-5,26.65074920654297,23.49650001525879,29.273500442504883,135502,15.281105820837924,3.063225110710752e-5,15.830125331878662,8.687649567921957,20.241250038146973,135502,0.12925972222499998,2.5086680923203365e-6,0.005900000000000001,6.388889e-4,0.505,135502,1059.6355035350034,0.0014465111880888667,1075,807,1261,135502,104.52613983557413,1.4719980443576045e-4,102,87,120
Pinus clausa,clausa,4749,21.482651846362153,3.5146778761004695e-4,21.678260803222656,19.58138656616211,23.608598709106445,4749,32.61670326920503,1.4396500358593477e-4,32.674251556396484,32.069725036621094,33.3025016784668,4749,26.8875999570169,2.8660194255189785e-4,27.151465733846027,26.642666498819988,27.67830975850423,4749,2.777778e-4,0,2.777778e-4,2.777778e-4,2.777778e-4,4749,1384.904822067804,0.03086927046528855,1314,1229,1620,4749,180.85049484101918,0.0040496000405371895,179,160,207
Pinus contorta,contorta,44239,6.175392748985711,8.232399879551437e-5,7.018919944763184,0.8565832376480103,10.248640060424805,44239,21.163849645364014,7.236198786379633e-5,20.637250900268555,17.225811004638672,25.4637508392334,44239,8.974067032128277,5.327633218078627e-5,8.254124879837036,6.487214756011963,12.599850082397463,44239,0.0044611531624999985,1.650274046803157e-7,2.777778e-4,1e-9,0.016666833349999993,44239,1050.0092904450808,0.01459967988732178,806,489,2050,44239,117.67901625262647,0.002079647079618782,87,42,248
Pinus coulteri,coulteri,4903,14.047777661590613,3.483698060994615e-4,14.30412483215332,11.586593627929688,15.903573036193848,4903,30.4936924941584,4.872494823431851e-4,30.488750457763672,27.10321044921875,33.09400177001953,4903,8.791120096491033,3.7035701345377453e-4,8.811000188191732,6.437333424886067,10.97974967956543,4903,NA,NA,NA,NA,NA,4903,561.1262492351622,0.03267615530272689,544,394,765,4903,94.15357944115853,0.005654343606465192,93,64,124
Pinus culminicola,culminicol,684,13.040643641823216,0.0016668925073623046,13.01996898651123,12.213958740234375,14.157351970672618,684,23.829159042291472,0.002155253877502411,23.865249633789062,22.7137508392334,25.491500854492188,684,15.298370659699914,0.001944204193881668,15.170666694641113,14.457083384195963,16.337349669138593,684,NA,NA,NA,NA,NA,684,585.780701754386,0.0664459154232143,580,543.1999999999999,622,684,88.34064327485382,0.014658963089697207,91,79,99
Pinus dabeshanensis,dabeshanen,333,11.17440141768785,0.013182312692643711,11.879770278930664,5.932450103759766,15.954595565795898,333,23.607242395211983,0.015069989559805869,23.506250381469727,17.2552001953125,29.98804931640625,333,18.03311448913437,0.014618227525398495,17.63700008392334,11.790000152587892,24.08809986114502,333,0.0018,0,0.0018,0.0018,0.0018,333,1212.5615615615618,2.0148814490464813,1031,623.6,2493.0000000000005,333,197.945945945946,0.32057439524490305,169,109,401
Pinus dalatensis,dalatensis,87,20.412315039799132,0.022062801534970786,20.319530487060547,17.191626739501952,23.020280838012695,87,26.59159463027428,0.023417148841578587,26.09000015258789,23.43305015563965,29.653749465942383,87,21.655356198891827,0.028620126144529773,21.36900011698405,18.115133666992186,25.45924949645996,87,NA,NA,NA,NA,NA,87,1946.8965517241381,4.379424364845361,1899,1460.6,2348.0000000000005,87,330.7816091954023,1.272452856793918,327,212,477
Pinus densata,densata,210,5.814673024841718,0.02000561496739904,4.17033839225769,1.8442354798316956,12.017824649810782,210,18.30138214656285,0.018651488588231957,16.750749588012695,15.13325023651123,25.194049835205078,210,12.602477371124994,0.017879652116791458,11.18358294169108,9.047083536783854,19.036450131734206,210,0.0018,0,0.0018,0.0018,0.0018,210,716.2428571428571,1.0488037075701284,699,521.5000000000002,953.0999999999999,210,126.9,0.1777116539082775,122,87,174.29999999999998
Pinus densiflora,densiflora,9860,11.204249945059285,2.496681928539605e-4,11.454182147979736,8.0399169921875,13.962385177612305,9860,27.719071289588676,1.857282193956005e-4,28.162750244140625,25.076499938964844,29.7185001373291,9860,21.518611556231118,2.1398137835006005e-4,21.932750066121418,18.625666618347168,23.628416061401367,9860,1.8941176470588234e-4,4.114347439688985e-8,1e-4,1e-5,1e-4,9860,1362.8456389452335,0.03266157255754511,1302,1124,1780,9860,220.75943204868105,0.006220972183571794,221,148,300
Pinus devoniana,devoniana,1800,18.21809524801042,0.0016532551925677078,17.857072830200195,14.678667068481445,22.023073196411133,1800,28.76365353584289,0.001783387661422486,28.54075050354004,24.725250244140625,32.97724914550781,1800,19.513454591963026,0.0016776032377872061,19.437666575113933,15.904666900634766,23.205416361490887,1800,0.0018,0,0.0018,0.0018,0.0018,1800,1059.0772222222222,0.16338259965891572,1017,737,1411,1800,209.74833333333328,0.03265467019594378,209,139,288.2000000000003
Pinus discolor,discolor,688,15.48650198481804,0.0028448790327220324,15.800999641418457,13.25012493133545,17.364906311035156,688,31.343651885210082,0.003909990896201094,31.919750213623047,28.223774909973145,34.173248291015625,688,21.10309622869935,0.004499469987042987,21.524333318074543,16.687166531880695,25.021416346232098,688,NA,NA,NA,NA,NA,688,519.6598837209301,0.17924336618367773,506,402,639,688,90.53779069767444,0.05233707009256465,89,53,129
Pinus douglasiana,douglasian,908,17.764687866891535,0.0031541197344325173,18.226282119750977,14.258218765258789,21.525604248046875,908,28.042682509065198,0.0036086944353812952,28.085750579833984,23.585250854492188,31.971500396728516,908,19.340805141936315,0.0033356244192354408,19.56883366902669,15.474916776021322,23.20483334859212,908,NA,NA,NA,NA,NA,908,1151.095814977974,0.26091945012833456,1133,932,1403,908,229.00440528634363,0.05304344502710393,223,177.7,282
Pinus durangensis,durangensi,1727,14.845678644229992,0.0018085166758121686,14.551864624023438,11.409114837646484,19.16217803955078,1727,26.005765179367376,0.001985316726588609,25.647499084472656,21.732500076293945,30.475500106811523,1727,17.064147100189064,0.0017915773045968698,16.758249918619793,13.286499977111816,20.740500450134277,1727,8.939396727272727e-4,5.061564882282221e-7,2.777778e-4,1e-9,0.0018,1727,1051.3676896352058,0.20241268216004762,1034,663,1452,1727,204.16328894035897,0.03911458624461062,208,120,273
Pinus echinata,echinata,55487,8.420355468436702,5.9396923001923995e-5,7.883157730102539,5.290083408355713,13.53388500213623,55487,21.352613841870344,8.31605959625789e-5,20.255708694458008,17.125640869140625,31.201499938964844,55487,11.22807940608835,7.04045715390457e-5,10.53972339630127,7.248076677322388,16.54398822784424,55487,0.0038485458181818167,1.1523716752253368e-7,0.0018,1e-9,0.01666699999999999,55487,974.3021608664741,0.006234570948768016,827,658,1490,55487,109.37880945086818,7.288819424315843e-4,99,71,174
Pinus edulis,edulis,16228,10.429710050403354,1.8315742661716616e-4,10.375489234924316,6.12319803237915,14.577062606811523,16228,30.44607412964949,1.9271203702929255e-4,30.86574935913086,25.6247501373291,34.06475067138672,16228,18.257581926226653,1.8709624706923637e-4,18.17058340708415,13.978083292643229,22.705250422159832,16228,NA,NA,NA,NA,NA,16228,377.3336209021437,0.006169469952282193,364,242,517.6000000000022,16228,53.5052378604878,0.0013233830681100907,51,28,80
Pinus elliottii,elliottii,12604,22.164721945436053,1.7071670358822271e-4,22.733489990234375,19.163978576660156,24.238479614257812,12604,32.05653647731809,1.3618009067289198e-4,32.46123504638672,29.561948776245117,33.258750915527344,12604,26.483694550840482,1.9954142599439042e-4,27.43083318074544,23.11790008544922,27.839019139607746,12604,6.60730245222927e-5,7.534727927561278e-8,1e-9,1e-9,1e-5,12604,1369.3612345287215,0.013092942336133982,1330,1219,1570,12604,189.4361313868614,0.0025884198434793313,189,150,230
Pinus engelmannii,engelmanni,34494,8.492830128136644,8.795136902529105e-5,8.29395866394043,5.1309685707092285,13.02499008178711,34494,27.427282399866424,7.962700029206587e-5,27.45924949645996,24.025999069213867,30.92650032043457,34494,14.43147742052178,1.4744740258858293e-4,15.389749526977539,7.283999919891357,20.76275062561035,34494,9.694447e-4,2.7996868361338392e-8,0.0010388888999999998,8.333404e-5,0.0018,34494,544.2590885371368,0.006170799726884109,500,358,739,34494,76.82950658085313,0.001168794640240852,69,39,120
