Species,ShortName,MinTempColdWeek_n,MinTempColdWeek_mean,MinTempColdWeek_se,MinTempColdWeek_median,MinTempColdWeek_q10,MinTempColdWeek_q90
Pinus albicaulis,albicaulis,3265,-9.968034842707342,0.0011834015862891532,-9.800000190734863,-15.460000038146973,-4.9730000495910645
Pinus aristata,aristata,781,-16.51181332948266,0.005736082795307044,-18.200000762939453,-20.700000762939453,-10.119999885559082
Pinus arizonica,arizonica,834,1.418702265649154,0.0037007890394123145,1.4600000381469727,-2.8420000076293945,5.431999969482424
Pinus armandii,armandii,165,-2.5434988007852524,0.03626855791743902,-1.9739999771118164,-9.388400077819824,5.726400184631347
Pinus attenuata,attenuata,1129,1.9472382135072226,0.0029119814335485223,2.4130001068115234,-2.947000026702881,5.413000106811523
Pinus ayacahuite,ayacahuite,430,6.4944259810932845,0.011087599994283623,6.5970001220703125,0.777400016784668,13.600000381469727
Pinus balfouriana,balfourian,588,-6.560882440784021,0.004777672623106778,-8.484000205993652,-9.100000381469727,-3.3329999446868896
Pinus banksiana,banksiana,6147,-17.127048157340962,9.068740027712672e-4,-16.40999984741211,-24.34000015258789,-10.4399995803833
Pinus bhutanica,bhutanica,34,-2.6465588019174686,0.17803225766816305,-1.0800000429153442,-10.880000114440918,3.9000000953674316
Pinus brutia,brutia,1195,0.31809306273151144,0.0035157093023058467,-1.5709999799728394,-4.4029998779296875,6.099999904632568
Pinus bungeana,bungeana,62,-7.095746827221686,0.07558173558779392,-8.393499851226807,-12.608999633789063,-0.4326099872589118
Pinus caribaea,caribaea,764,16.621369146863827,0.0038913877314334594,16.475000381469727,13.520000457763672,20.81399955749512
Pinus cembra,cembra,5695,-6.7512796887462345,5.757531492749564e-4,-6.9710001945495605,-10.59000015258789,-1.871000051498413
Pinus cembroides,cembroides,5321,-5.17570289822351,0.0013280047656692923,-6.420000076293945,-13.869999885559082,4.293000221252441
Pinus chiapensis,chiapensis,64367,-10.629235928896883,7.562800413002578e-5,-10.4399995803833,-16.649999618530273,-4.393599987030006
Pinus clausa,clausa,1570,8.382095971456758,0.0019270243130487812,8.668000221252441,4.934999942779541,12.949999809265137
Pinus contorta,contorta,21669,-6.136228682752325,3.216290128755679e-4,-4.168000221252441,-17.110000610351563,1.0399999618530273
Pinus coulteri,coulteri,1616,1.6916487883490574,0.0013047865549209899,2.200000047683716,-0.583899974822998,4.616000175476074
Pinus culminicola,culminicol,228,3.4914299626099434,0.0032272760742678747,3.367000102996826,2.367000102996826,4.293000221252441
Pinus dabeshanensis,dabeshanen,165,-2.5434988007852524,0.03626855791743902,-1.9739999771118164,-9.388400077819824,5.726400184631347
Pinus dalatensis,dalatensis,29,10.905517347927752,0.06605557079364027,10.600000381469727,8.100000381469727,13.279999732971191
Pinus densata,densata,70,-10.863142807143076,0.07958538008861528,-10.915000438690186,-17.162000465393067,-3.9920998573303192
Pinus densiflora,densiflora,3237,-7.289469211568304,0.001430261232226737,-7.255000114440918,-11.819999694824219,-1.2899999618530273
Pinus devoniana,devoniana,592,7.970284791210213,0.005417159140898637,7.757999897003174,3.893300080299378,11.90999984741211
Pinus discolor,discolor,225,-0.45302340797459084,0.013107560008418947,-1.246999979019165,-3.6730000972747803,4.293000221252441
Pinus douglasiana,douglasian,302,7.675105566615301,0.011077719224664499,7.748000144958496,3.2869999408721924,12.08999967575074
Pinus durangensis,durangensi,709,4.9988929116087,0.006588748679777206,4.168000221252441,0.3799999952316284,11.831999969482423
