verbatim_name,RecordCount
Pinus albicaulis,3350
Pinus aristata,810
Pinus arizonica,972
Pinus armandii,249
Pinus attenuata,1199
Pinus ayacahuite,541
Pinus balfouriana,624
Pinus banksiana,6493
Pinus bhutanica,37
Pinus brutia,1256
Pinus bungeana,88
Pinus caribaea,815
Pinus cembra,6546
Pinus cembroides,5545
Pinus chiapensis,68377
Pinus clausa,1610
Pinus contorta,24739
Pinus coulteri,1667
Pinus culminicola,250
Pinus dabeshanensis,249
Pinus dalatensis,32
Pinus densata,94
Pinus densiflora,3712
Pinus devoniana,701
Pinus discolor,247
Pinus douglasiana,369
Pinus durangensis,910
Pinus echinata,30726
Pinus edulis,5337
Pinus elliottii,4239
Pinus engelmannii,32896
Pinus fenzeliana,82
Pinus flexilis,3309
Pinus gerardiana,42
Pinus glabra,579
Pinus greggii,340
Pinus halepensis,260985
Pinus hartwegii,1104
Pinus heldreichii,641
Pinus herrerae,265
Pinus hwangshanensis,16
Pinus jaliscana,59
Pinus jeffreyi,2922
Pinus kesiya,209
Pinus koraiensis,1185
Pinus krempfii,33
Pinus kwangtungensis,82
Pinus lambertiana,2530
Pinus latteri,45
Pinus lawsonii,277
Pinus leiophylla,3474
Pinus longaeva,2428
Pinus luchuensis,121
Pinus lumholtzii,502
Pinus massoniana,2294
Pinus maximartinezii,79
Pinus maximinoi,560
Pinus merkusii,74
Pinus monophylla,5993
Pinus montezumae,2201
Pinus monticola,3904
Pinus morrisonicola,125
Pinus mugo,28175
Pinus muricata,25765
Pinus nelsonii,178
Pinus nigra,129835
Pinus oocarpa,1375
Pinus palustris,5888
Pinus parviflora,609
Pinus patula,6356
Pinus peuce,463
Pinus pinaster,262416
Pinus pinceana,297
Pinus pinea,204405
Pinus ponderosa,32354
Pinus praetermissa,66
Pinus pringlei,300
Pinus pseudostrobus,3427
Pinus pumila,2750
Pinus pungens,910
Pinus quadrifolia,821
Pinus radiata,30611
Pinus remota,284
Pinus resinosa,520532
Pinus rigida,42632
Pinus roxburghii,135
Pinus rzedowskii,46
Pinus sabiniana,3027
Pinus serotina,584
Pinus sibirica,11074
Pinus squamata,3
Pinus strobiformis,1776
Pinus strobus,69553
Pinus sylvestris,480594
Pinus tabuliformis,190
Pinus taeda,6450
Pinus taiwanensis,585
Pinus tecunumanii,344
Pinus teocote,1158
Pinus thunbergii,2771
Pinus virginiana,4469
Pinus wallichiana,518
Pinus wangii,14
Pinus yunnanensis,166
