usageKey,scientificName,canonicalName,rank,status,confidence,matchType,kingdom,phylum,order,family,genus,species,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,synonym,class,acceptedUsageKey,verbatim_name
5285180,Pinus gerardiana Wall. ex D.Don,Pinus gerardiana,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Pinales,Pinaceae,Pinus,Pinus gerardiana,6,7707728,194,640,3925,2684241,5285180,FALSE,Pinopsida,NA,Pinus gerardiana
8622559,Pinus gerardiana Wall.,Pinus gerardiana,SPECIES,SYNONYM,97,EXACT,Plantae,Tracheophyta,Pinales,Pinaceae,Pinus,Pinus gerardiana,6,7707728,194,640,3925,2684241,5285180,TRUE,Pinopsida,5285180,Pinus gerardiana
5285595,Pinus muricata D.Don,Pinus muricata,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Pinales,Pinaceae,Pinus,Pinus muricata,6,7707728,194,640,3925,2684241,5285595,FALSE,Pinopsida,NA,Pinus muricata
7999472,Pinus muricata Bol.,Pinus muricata,SPECIES,SYNONYM,97,EXACT,Plantae,Tracheophyta,Pinales,Pinaceae,Pinus,Pinus contorta,6,7707728,194,640,3925,2684241,5285750,TRUE,Pinopsida,5285751,Pinus muricata
5284809,Pinus nigra J.F.Arnold,Pinus nigra,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Pinales,Pinaceae,Pinus,Pinus nigra,6,7707728,194,640,3925,2684241,5284809,FALSE,Pinopsida,NA,Pinus nigra
8196507,Pinus nigra Aiton,Pinus nigra,SPECIES,SYNONYM,97,EXACT,Plantae,Tracheophyta,Pinales,Pinaceae,Picea,Picea mariana,6,7707728,194,640,3925,7606064,5284802,TRUE,Pinopsida,5284802,Pinus nigra
7707645,Pinus nigra Link,Pinus nigra,SPECIES,SYNONYM,97,EXACT,Plantae,Tracheophyta,Pinales,Pinaceae,Pinus,Pinus nigra,6,7707728,194,640,3925,2684241,5284809,TRUE,Pinopsida,7230699,Pinus nigra
5285824,Pinus kesiya Royle ex Gordon,Pinus kesiya,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Pinales,Pinaceae,Pinus,Pinus kesiya,6,7707728,194,640,3925,2684241,5285824,FALSE,Pinopsida,NA,Pinus kesiya
8453008,Pinus kesiya Royle,Pinus kesiya,SPECIES,SYNONYM,97,EXACT,Plantae,Tracheophyta,Pinales,Pinaceae,Pinus,Pinus kesiya,6,7707728,194,640,3925,2684241,5285824,TRUE,Pinopsida,5285824,Pinus kesiya
11257441,Pinus kesiya Royle ex Godr.,Pinus kesiya,SPECIES,DOUBTFUL,96,EXACT,Plantae,Tracheophyta,Pinales,Pinaceae,Pinus,Pinus kesiya,6,7707728,194,640,3925,2684241,11257441,FALSE,Pinopsida,NA,Pinus kesiya
