NSSitesModel,nParam,lnL,ChiSq,df,PValue,AIC,Parameter,Value
3,211,-3515.576589,297.2480800000003,4,4.2501174015214097e-63,7453.153178,K,2.37537
3,211,-3515.576589,297.2480800000003,4,4.2501174015214097e-63,7453.153178,p_0,0.94598
3,211,-3515.576589,297.2480800000003,4,4.2501174015214097e-63,7453.153178,p_1,0.04007
3,211,-3515.576589,297.2480800000003,4,4.2501174015214097e-63,7453.153178,p_2,0.01395
3,211,-3515.576589,297.2480800000003,4,4.2501174015214097e-63,7453.153178,w_0,0.01951
3,211,-3515.576589,297.2480800000003,4,4.2501174015214097e-63,7453.153178,w_1,4.24997
3,211,-3515.576589,297.2480800000003,4,4.2501174015214097e-63,7453.153178,w_2,17.76562
8,210,-3517.929685,104.82052999999996,2,1.7318533555563086e-23,7455.85937,K,2.37827
8,210,-3517.929685,104.82052999999996,2,1.7318533555563086e-23,7455.85937,p0,0.9701
8,210,-3517.929685,104.82052999999996,2,1.7318533555563086e-23,7455.85937,p,0.005
8,210,-3517.929685,104.82052999999996,2,1.7318533555563086e-23,7455.85937,q,0.0514
8,210,-3517.929685,104.82052999999996,2,1.7318533555563086e-23,7455.85937,(p1,0.0299
8,210,-3517.929685,104.82052999999996,2,1.7318533555563086e-23,7455.85937,p_0,0.09701
8,210,-3517.929685,104.82052999999996,2,1.7318533555563086e-23,7455.85937,p_1,0.09701
8,210,-3517.929685,104.82052999999996,2,1.7318533555563086e-23,7455.85937,p_2,0.09701
8,210,-3517.929685,104.82052999999996,2,1.7318533555563086e-23,7455.85937,p_3,0.09701
8,210,-3517.929685,104.82052999999996,2,1.7318533555563086e-23,7455.85937,p_4,0.09701
8,210,-3517.929685,104.82052999999996,2,1.7318533555563086e-23,7455.85937,p_5,0.09701
8,210,-3517.929685,104.82052999999996,2,1.7318533555563086e-23,7455.85937,p_6,0.09701
8,210,-3517.929685,104.82052999999996,2,1.7318533555563086e-23,7455.85937,p_7,0.09701
8,210,-3517.929685,104.82052999999996,2,1.7318533555563086e-23,7455.85937,p_8,0.09701
8,210,-3517.929685,104.82052999999996,2,1.7318533555563086e-23,7455.85937,p_9,0.09701
8,210,-3517.929685,104.82052999999996,2,1.7318533555563086e-23,7455.85937,p_10,0.0299
8,210,-3517.929685,104.82052999999996,2,1.7318533555563086e-23,7455.85937,w_0,0
8,210,-3517.929685,104.82052999999996,2,1.7318533555563086e-23,7455.85937,w_1,0
8,210,-3517.929685,104.82052999999996,2,1.7318533555563086e-23,7455.85937,w_2,0
8,210,-3517.929685,104.82052999999996,2,1.7318533555563086e-23,7455.85937,w_3,0
8,210,-3517.929685,104.82052999999996,2,1.7318533555563086e-23,7455.85937,w_4,0
8,210,-3517.929685,104.82052999999996,2,1.7318533555563086e-23,7455.85937,w_5,0
8,210,-3517.929685,104.82052999999996,2,1.7318533555563086e-23,7455.85937,w_6,0
8,210,-3517.929685,104.82052999999996,2,1.7318533555563086e-23,7455.85937,w_7,0
8,210,-3517.929685,104.82052999999996,2,1.7318533555563086e-23,7455.85937,w_8,0
8,210,-3517.929685,104.82052999999996,2,1.7318533555563086e-23,7455.85937,w_9,0.99999
8,210,-3517.929685,104.82052999999996,2,1.7318533555563086e-23,7455.85937,w_10,11.2666
1,208,-3622.544237,190.28043200000002,1,2.7613345518704466e-43,7661.088474,K,2.00471
1,208,-3622.544237,190.28043200000002,1,2.7613345518704466e-43,7661.088474,p_0,0.91059
1,208,-3622.544237,190.28043200000002,1,2.7613345518704466e-43,7661.088474,p_1,0.08941
1,208,-3622.544237,190.28043200000002,1,2.7613345518704466e-43,7661.088474,w_0,0
1,208,-3622.544237,190.28043200000002,1,2.7613345518704466e-43,7661.088474,w_1,1
7,208,-3622.750215,NA,NA,NA,7662.9027,K,2.01339
7,208,-3622.750215,NA,NA,NA,7662.9027,p,0.005
7,208,-3622.750215,NA,NA,NA,7662.9027,q,0.04658
7,208,-3622.750215,NA,NA,NA,7662.9027,p_0,0.1
7,208,-3622.750215,NA,NA,NA,7662.9027,p_1,0.1
7,208,-3622.750215,NA,NA,NA,7662.9027,p_2,0.1
7,208,-3622.750215,NA,NA,NA,7662.9027,p_3,0.1
7,208,-3622.750215,NA,NA,NA,7662.9027,p_4,0.1
7,208,-3622.750215,NA,NA,NA,7662.9027,p_5,0.1
7,208,-3622.750215,NA,NA,NA,7662.9027,p_6,0.1
7,208,-3622.750215,NA,NA,NA,7662.9027,p_7,0.1
7,208,-3622.750215,NA,NA,NA,7662.9027,p_8,0.1
7,208,-3622.750215,NA,NA,NA,7662.9027,p_9,0.1
7,208,-3622.750215,NA,NA,NA,7662.9027,w_0,0
7,208,-3622.750215,NA,NA,NA,7662.9027,w_1,0
7,208,-3622.750215,NA,NA,NA,7662.9027,w_2,0
7,208,-3622.750215,NA,NA,NA,7662.9027,w_3,0
7,208,-3622.750215,NA,NA,NA,7662.9027,w_4,0
7,208,-3622.750215,NA,NA,NA,7662.9027,w_5,0
7,208,-3622.750215,NA,NA,NA,7662.9027,w_6,0
7,208,-3622.750215,NA,NA,NA,7662.9027,w_7,0
7,208,-3622.750215,NA,NA,NA,7662.9027,w_8,1e-5
7,208,-3622.750215,NA,NA,NA,7662.9027,w_9,1
2,210,-3623.45135,-0.9071129999997538,2,1,7666.9027,K,2.00149
2,210,-3623.45135,-0.9071129999997538,2,1,7666.9027,p_0,0.90927
2,210,-3623.45135,-0.9071129999997538,2,1,7666.9027,p_1,0.08923
2,210,-3623.45135,-0.9071129999997538,2,1,7666.9027,p_2,0.0015
2,210,-3623.45135,-0.9071129999997538,2,1,7666.9027,w_0,0
2,210,-3623.45135,-0.9071129999997538,2,1,7666.9027,w_1,1
2,210,-3623.45135,-0.9071129999997538,2,1,7666.9027,w_2,999
0,207,-3812.824669,NA,NA,NA,8039.649338,K,2.4991
0,207,-3812.824669,NA,NA,NA,8039.649338,w,0.35627
