Species,ShortName,MeanTempAnnual_n,MeanTempAnnual_mean,MeanTempAnnual_se,MeanTempAnnual_median,MeanTempAnnual_q10,MeanTempAnnual_q90,MaxTempWarmestMonth_n,MaxTempWarmestMonth_mean,MaxTempWarmestMonth_se,MaxTempWarmestMonth_median,MaxTempWarmestMonth_q10,MaxTempWarmestMonth_q90,GrowingSeasonTemp_n,GrowingSeasonTemp_mean,GrowingSeasonTemp_se,GrowingSeasonTemp_median,GrowingSeasonTemp_q10,GrowingSeasonTemp_q90,coordinatePrecision_n,coordinatePrecision_mean,coordinatePrecision_se,coordinatePrecision_median,coordinatePrecision_q10,coordinatePrecision_q90,PrecAnnual_n,PrecAnnual_mean,PrecAnnual_se,PrecAnnual_median,PrecAnnual_q10,PrecAnnual_q90,Prec_n,Prec_mean,Prec_se,Prec_median,Prec_q10,Prec_q90
Viburnum acerifolium,acerifoliu,51561,8.545511626581,8.128503917624717e-5,9.1347503662109375,2.1569182872772217,13.37551212310791,51561,26.97623464089746,7.028244035563056e-5,27.797250747680664,21.053499221801758,30.864999771118164,51561,15.563590421005431,8.65233261257228e-5,16.640501022338867,8.636693477630615,20.75349998474121,51561,1e-4,0,1e-4,1e-4,1e-4,51561,1059.2721630689814,0.0054442851715670254,1091,777,1267,51561,105.25773355830968,6.015354924522995e-4,102,84,124
Viburnum acutifolium,acutifoliu,930,17.7073296946864,0.003193278651111538,17.214645385742188,14.551864624023438,22.257625579833984,930,26.75502693422379,0.003161398441178019,26.49174976348877,23.262250900268555,30.5778751373291,930,18.659698821652324,0.0029424944633892223,17.830249786376953,16.134000778198242,22.739999771118164,930,NA,NA,NA,NA,NA,930,1454.3677419354835,0.56290755486741,1210,1017,2426,930,287.10967741935485,0.09572764731370659,238,219,438
Viburnum adenophorum,adenophoru,1285,10.565584105740262,0.002424573123643469,11.406312942504883,6.555739879608154,13.020291328430176,1285,20.218350395618245,0.0030257053166475663,18.790250778198242,16.660249710083008,26.718000411987305,1285,16.067440198089365,0.0028529135610986314,15.04800033569336,12.878000259399414,21.774749755859375,1285,NA,NA,NA,NA,NA,1285,2264.280155642028,0.9085104175395577,2868,719,3387,1285,358.98443579766536,0.13973737758311322,439,136,602
Viburnum amplificatum,amplificat,60,25.07726125717163,0.040626104076959546,26.202709197998047,19.75812931060791,26.681586265563965,60,29.70686254501343,0.03952940108411203,30.798250198364258,24.407499313354492,31.385384368896485,60,24.912494723002116,0.03918729042432013,25.819583257039387,19.92359962463379,26.772349929809568,60,NA,NA,NA,NA,NA,60,2050.8,3.5081768890330722,2001.5,1891.7,2327.2000000000003,60,213.51666666666668,0.498703513724719,210.5,181.3,246.8
Viburnum amplifolium,amplifoliu,3,16.319135665893555,0,16.319135665893555,16.319135665893555,16.319135665893555,3,25.263999938964844,0,25.263999938964844,25.263999938964844,25.263999938964844,3,21.455250422159832,0,21.455250422159832,21.455250422159832,21.455250422159832,3,NA,NA,NA,NA,NA,3,1403,0,1403,1403,1403,3,265.3333333333333,16.55070771676927,280,224,300.8
Viburnum anabaptista,anabaptist,159,16.52934634010747,0.005645380780437484,16.722614288330078,15.904885292053223,16.781490325927734,159,21.463188783177788,0.006690261460510941,21.43375015258789,21.172000885009766,21.72949981689453,159,16.550577109714723,0.005662771830838898,16.7514165242513,15.83816655476888,16.82575035095215,159,NA,NA,NA,NA,NA,159,2549.7735849056603,1.5677774995293587,2629,2394,2725,159,280.65408805031444,0.18075051616744864,293,249,303
Viburnum anamensis,anamensis,3,20.019229888916016,0,20.019229888916016,20.019229888916016,20.019229888916016,3,25.97024917602539,0,25.97024917602539,25.97024917602539,25.97024917602539,3,21.36900011698405,0,21.36900011698405,21.36900011698405,21.36900011698405,3,NA,NA,NA,NA,NA,3,1951,0,1951,1951,1951,3,317,2.9627314724385294,314,310.79999999999995,324.40000000000003
Viburnum atrocyaneum,atrocyaneu,46,12.581142207850583,0.18662851196530333,11.970728874206543,1.913895845413208,27.167821884155273,46,23.871874104375426,0.18941863955206353,22.425500869750977,12.955499649047852,36.377498626708984,46,17.279304255609926,0.14516481303139164,17.764249801635742,8.724749565124512,27.296249389648438,46,NA,NA,NA,NA,NA,46,1102.2173913043478,11.13827651850301,988,721,1431,46,220,2.450509936686742,188,137,357
Viburnum australe,australe,12,19.674442768096924,0.1902087201645719,19.71559429168701,16.86579132080078,22.40079116821289,12,32.8246865272522,0.16063667871156959,32.89499855041504,30.296499252319336,35.212249755859375,12,24.7904372215271,0.16958340136372038,24.65870793660482,22.33274968465169,27.51158332824707,12,NA,NA,NA,NA,NA,12,398.5,13.139764422960903,330.5,276,657,12,66.25,2.859532392726214,53,38.5,92.9
Viburnum awabuki,awabuki,3370,18.1580667509877,0.001144377303896795,17.301464080810547,13.73768424987793,23.081687927246094,3370,29.208391829131262,7.624775916488714e-4,29.32868003845215,25.894250869750977,32.435184478759766,3370,23.686132431737693,0.0011249198246430644,24.369507789611816,20.42300033569336,27.625324249267578,3370,9.000004999999999e-4,2.7400000115354976e-7,9.000004999999999e-4,1e-9,0.0018,3370,1971.9896142433206,0.17841253766097542,1852,1280,2896,3370,319.78041543026745,0.042464708137714684,285,182,536
