branch_name	branch_id	S_sub	N_sub	N_sitewise	branch_length	is_fg	is_mg
albomargin	0	0.8923	1.9858	N74S,G224A	0.0000	Y	N
algarvense	1	7.9991	1.9998	S22T,D319E	0.0216	Y	N
ammophilon	2	1.0000	0.0000		0.0027	Y	N
amopicum	3	0.0002	0.0000		0.0000	Y	N
anatolicum	4	1.0000	0.0062		0.0028	Y	N
aphroditae	5	0.0000	0.0000		0.0000	Y	N
aragonense	6	1.0000	0.0008		0.0026	Y	N
arboreum	7	0.0000	0.0000		0.0000	Y	N
archaeothi	8	9.0000	4.0000	T22S,S74N,A224G,E319D	0.0283	Y	N
articulatu	9	0.0000	0.0000		0.0000	Y	N
aucheri	10	11.0000	4.0000	T22S,S74N,A224G,E319D	0.0366	Y	N
aureum	11	0.0000	0.0000		0.0000	Y	N
axillare	12	0.0000	0.0000		0.0000	Y	N
beaumieria	13	0.0000	0.0000		0.0000	Y	N
bellidifol	14	1.0000	0.0000		0.0017	Y	N
benmageci	15	0.0000	0.0000		0.0000	Y	N
biflorum	16	0.0000	0.0000		0.0000	Y	N
binervosum	17	0.0000	0.0000		0.0000	Y	N
bocconei	18	0.0000	0.0000		0.0000	Y	N
Node176	19	0.0000	0.0000		0.0000	Y	N
bollei	20	0.0000	0.0000		0.0000	Y	N
bonduellei	21	0.0000	0.0000		0.0000	Y	N
bonifacien	22	1.0000	0.0000		0.0000	Y	N
bourgeaui	23	0.0000	0.0000		0.0000	Y	N
brasiliens	24	0.0000	0.0000		0.0000	Y	N
brassicifo	25	0.0000	0.0000		0.0000	Y	N
braunii	26	0.0000	0.0000		0.0000	Y	N
brevipetio	27	0.0000	0.0000		0.0000	Y	N
brunneri	28	0.0000	0.0000		0.0000	Y	N
Node60	29	0.0000	0.0000		0.0000	Y	N
caesium	30	0.0000	0.0000		0.0000	Y	N
californic	31	0.0000	0.0000		0.0000	Y	N
Node30	32	0.0000	0.0000		0.0000	Y	N
calliopsiu	33	0.0000	0.0000		0.0000	Y	N
camposanum	34	1.0000	0.0000		0.0000	Y	N
Node147	35	0.0000	0.0000		0.0000	Y	N
cancellatu	36	0.0000	0.0000		0.0000	Y	N
capense	37	0.0000	0.0000		0.0000	Y	N
carolinian	38	0.0000	0.0000		0.0000	Y	N
carpetanic	39	0.0000	0.0000		0.0000	Y	N
carthagine	40	0.0000	0.0000		0.0000	Y	N
cephalonic	41	0.0000	0.0000		0.0000	Y	N
circaei	42	0.0000	0.0000		0.0000	Y	N
compactum	43	0.0000	0.0000		0.0000	Y	N
confusum	44	0.0000	0.0000		0.0000	Y	N
contortira	45	0.0000	0.0000		0.0000	Y	N
corculum	46	0.0000	0.0000		0.0000	Y	N
cordatum	47	0.0000	0.0000		0.0000	Y	N
Node142	48	0.0000	0.0000		0.0000	Y	N
cornarianu	49	0.0000	0.0000		0.0000	Y	N
coronense	50	0.0000	0.0000		0.0000	Y	N
corsicum	51	0.0000	0.0000		0.0000	Y	N
Node179	52	0.0000	0.0000		0.0000	Y	N
Node178	53	0.0000	0.0000		0.0000	Y	N
Node177	54	0.0000	0.0000		0.0000	Y	N
cossonianu	55	0.0000	0.0000		0.0000	Y	N
cosyrense	56	0.0000	0.0000		0.0000	Y	N
craterifor	57	0.0000	0.0000		0.0000	Y	N
creticum	58	9.0000	4.0000	T22S,S74N,A224G,E319D	0.0290	Y	N
cymuliferu	59	1.0345	0.0001		0.0061	Y	N
cythereum	60	8.9992	3.9998	S22T,N74S,G224A,D319E	0.0293	Y	N
daveaui	61	0.0000	0.0000		0.0000	Y	N
delicatulu	62	0.0000	0.0000		0.0000	Y	N
dendroides	63	2.0589	4.9020	A70P,N74S,I204L,M288I,A307S	0.0125	Y	N
densissimu	64	0.0000	0.0000		0.0000	Y	N
diasii	65	0.0000	0.0000		0.0000	Y	N
dichotomum	66	0.0000	0.0000		0.0000	Y	N
dichroanth	67	2.9925	0.0000		0.0167	Y	N
divaricatu	68	0.0000	0.0000		0.0000	Y	N
dodartii	69	0.0000	0.0000		0.0000	Y	N
dufourii	70	0.0000	0.0000		0.0000	Y	N
Node164	71	0.0000	0.0000		0.0000	Y	N
ebusitanum	72	0.0000	0.0000		0.0000	Y	N
echioides	73	0.0000	0.0000		0.0000	Y	N
effusum	74	0.0000	0.0000		0.0000	Y	N
Node34	75	0.0000	0.0000		0.0000	Y	N
erectum	76	0.0000	0.0000		0.0000	Y	N
estevei	77	0.0000	0.0000		0.0000	Y	N
failachicu	78	0.0000	0.0000		0.0000	Y	N
fallax	79	0.0000	0.0000		0.0000	Y	N
flexuosum	80	0.0000	0.0000		0.0000	Y	N
frederici	81	0.0000	0.0000		0.0000	Y	N
frutescens	82	0.0000	0.0000		0.0000	Y	N
Node90	83	0.0000	0.0000		0.0000	Y	N
furfuraceu	84	0.9988	0.0000		0.0000	Y	N
girardianu	85	0.0000	0.0000		0.0000	Y	N
globulifer	86	0.0000	0.0000		0.0000	Y	N
gmelini	87	0.0000	0.0000		0.0000	Y	N
gougetianu	88	0.0000	0.0000		0.0000	Y	N
grabusae	89	0.0000	0.0000		0.0000	Y	N
Node110	90	0.0011	0.0002		0.0000	Y	N
greuteri	91	0.0000	0.0000		0.0000	Y	N
Node173	92	0.0000	0.0000		0.0000	Y	N
Node172	93	0.0000	0.0000		0.0000	Y	N
guaicuru	94	0.0000	0.0000		0.0000	Y	N
gymnesicum	95	1.0000	0.0000		0.0000	Y	N
hibericum	96	1.0000	0.0000		0.0034	Y	N
hierapetra	97	0.0000	0.0000		0.0000	Y	N
hoeltzeri	98	0.0000	0.0000		0.0000	Y	N
humile	99	0.0000	0.0000		0.0000	Y	N
hungaricum	100	0.0000	0.0000		0.0000	Y	N
hyblaeum	101	0.0000	0.0000		0.0000	Y	N
Node152	102	0.0000	0.0000		0.0000	Y	N
iconicum	103	1.0000	0.0000		0.0027	Y	N
imbricatum	104	0.0000	1.0000	E319D	0.0000	Y	N
insigne	105	0.0000	0.0000		0.0000	Y	N
Node98	106	0.0000	0.0000		0.0000	Y	N
iranicum	107	1.0000	0.0000		0.0063	Y	N
jovibarba	108	0.0000	0.0000		0.0000	Y	N
kardamylii	109	0.0000	0.0000		0.0000	Y	N
kaschgaric	110	0.0000	0.0000		0.0000	Y	N
Node72	111	0.0001	0.5078	N74S	0.0000	Y	N
lanceolatu	112	0.0000	1.0000	N74S	0.0000	Y	N
latebracte	113	0.0000	0.0001		0.0000	Y	N
latifolium	114	0.0000	0.0000		0.0000	Y	N
Node24	115	0.0000	0.0000		0.0000	Y	N
lilacinum	116	0.0000	0.0000		0.0000	Y	N
Node38	117	0.0000	0.0000		0.0000	Y	N
limbatum	118	0.0000	0.0000		0.0000	Y	N
Node31	119	0.0000	0.0000		0.0000	Y	N
Node29	120	0.3753	0.0000		0.0000	Y	N
Node28	121	0.0000	0.0000		0.0000	Y	N
lobatum	122	0.0000	0.0000		0.0000	Y	N
lobinii	123	1.0000	0.9955	N74S	0.0082	Y	N
longebract	124	0.0000	0.0000		0.0000	Y	N
Node99	125	1.0002	2.7182	M288I,A307S,E319D	0.0032	Y	N
lowei	126	0.0000	0.0000		0.0000	Y	N
macrophyll	127	0.0000	0.0000		0.0000	Y	N
macropteru	128	0.0000	0.0000		0.0000	Y	N
Node85	129	0.0000	0.0000		0.0000	Y	N
meandrinum	130	0.0000	0.0000		0.0000	Y	N
meyeri	131	0.0000	0.0000		0.0000	Y	N
milleri	132	0.0000	0.0000		0.0000	Y	N
Node45	133	0.0000	0.0000		0.0000	Y	N
minoicum	134	0.0000	0.0000		0.0000	Y	N
minutiflor	135	0.0000	0.0000		0.0000	Y	N
Node138	136	0.0000	0.0000		0.0000	Y	N
minutum	137	0.0000	0.0000		0.0000	Y	N
Node140	138	0.0000	0.0000		0.0000	Y	N
mouretii	139	0.0000	5.0000	F76Y,S255A,I288M,S307A,R418S	0.0040	Y	N
mucronatum	140	0.0000	0.0000		0.0000	Y	N
Node61	141	0.0000	0.0000		0.0000	Y	N
multifloru	142	0.0000	1.0000	G352R	0.0000	Y	N
Node150	143	0.0000	0.0000		0.0000	Y	N
Node149	144	0.0000	1.0000	A224G	0.0000	Y	N
multiforme	145	0.0000	0.0000		0.0000	Y	N
Node180	146	0.0000	0.0000		0.0000	Y	N
narbonense	147	0.0000	0.0000		0.0000	Y	N
Node36	148	0.0000	0.0000		0.0000	Y	N
Node35	149	0.0000	0.0000		0.0000	Y	N
Node33	150	0.0000	0.0000		0.0000	Y	N
nydeggeri	151	0.0000	0.0000		0.0000	Y	N
Node121	152	0.0000	0.0000		0.0000	Y	N
obtusifoli	153	0.0000	0.0000		0.0000	Y	N
Node175	154	0.0000	0.0000		0.0000	Y	N
Node174	155	0.0000	0.0000		0.0000	Y	N
Node171	156	0.0000	0.0000		0.0000	Y	N
Node170	157	0.0000	0.0000		0.0000	Y	N
ocymifoliu	158	0.0000	0.0000		0.0000	Y	N
Node129	159	0.0000	0.0000		0.0000	Y	N
Node128	160	7.9998	2.9999	T22S,A224G,E319D	0.0232	Y	N
Node127	161	0.0000	0.0003		0.0000	Y	N
